feature,gain_sum,gain_mean
ATSC5v,51.94120746292174,10.388241492584347
ATSC4se,51.93095410987735,10.38619082197547
MATS7i,51.83366417698562,10.366732835397125
AATSC0i,51.671403136104345,10.334280627220869
ETA_psi_1,51.62027419358492,10.324054838716984
C2SP2,51.596108274534345,10.319221654906869
MATS7d,51.47946027852595,10.29589205570519
Xch-6d,51.478330817073584,10.295666163414717
GATS1dv,51.47280454263091,10.294560908526183
AATSC1dv,51.43711186014116,10.287422372028232
TIC3,51.35127377510071,10.270254755020142
MATS5c,51.169452333822846,10.233890466764569
ATS4pe,51.13294190168381,10.22658838033676
n9FaRing,50.959303975105286,10.191860795021057
MATS7s,50.951212061569095,10.190242412313818
ATS5d,50.942426946014166,10.188485389202834
ATSC8v,50.83216875419021,10.166433750838042
GATS3v,50.652407851070166,10.130481570214034
Xp-5dv,50.649474032223225,10.129894806444645
GATS2m,50.63208356127143,10.126416712254287
GATS4m,50.58334317430854,10.116668634861707
ATS6pe,50.55010083317757,10.110020166635513
SpDiam_Dzp,50.38645915687084,10.077291831374168
MWC03,50.38552963733673,10.077105927467347
MATS4pe,50.30111305229366,10.060222610458732
AATS0dv,50.29775138758123,10.059550277516246
ATSC4p,50.21572168916464,10.043144337832928
Kier2,50.100208174437284,10.020041634887457
AATS3p,50.070995945483446,10.01419918909669
ATSC4m,50.04295464232564,10.008590928465129
TSRW10,49.68905998580158,9.937811997160315
VE2_A,49.603613859042525,9.920722771808505
CIC5,49.48616310209036,9.897232620418071
AXp-0d,49.422753900289536,9.884550780057907
MATS4are,49.40084260702133,9.880168521404267
nBase,49.384659830480814,9.876931966096162
AATSC5p,49.31707345508039,9.863414691016079
AATSC2dv,49.304332695901394,9.860866539180279
AATS7dv,48.82529749907553,9.765059499815106
Xch-5dv,48.7975689265877,9.75951378531754
ATSC0dv,48.76824679598212,9.753649359196425
CIC1,48.74061415344477,9.748122830688953
C3SP2,48.6835434678942,9.736708693578839
SlogP_VSA4,48.65910600684583,9.731821201369167
MATS4v,48.50513323582709,9.701026647165417
SRW09,48.40315122529864,9.680630245059728
AATSC2Z,48.38437467068434,9.676874934136867
ATS8dv,48.305470414459705,9.66109408289194
ATSC0Z,48.170387921854854,9.63407758437097
ATSC6are,48.14933134242892,9.629866268485785
ATS3p,48.047936514019966,9.609587302803993
MATS8Z,47.86114360764623,9.572228721529246
GATS1v,47.56186196953058,9.512372393906116
AATS7p,47.43337059766054,9.486674119532108
MPC4,47.319122552871704,9.46382451057434
GATS2se,47.187521524727345,9.437504304945469
AATSC4se,47.00629544258118,9.401259088516236
SpDiam_Dt,46.923298115842044,9.384659623168409
BCUTare-1l,46.88853499293327,9.377706998586655
AATS2d,46.80989949405193,9.361979898810386
SRW08,46.4777655005455,9.2955531001091
n6aHRing,46.10927218198776,9.221854436397553
ATS3dv,45.96340953744948,9.192681907489895
ATS1m,45.74354496598244,9.148708993196488
MATS5p,45.64412251487374,9.128824502974748
MATS4Z,45.5675244461745,9.1135048892349
ATS6d,45.55203046090901,9.110406092181801
MATS6i,45.523061610758305,9.104612322151661
GATS8m,45.50923637114465,9.10184727422893
SdO,45.49385788291693,9.098771576583385
AATSC2c,45.418945387005806,9.08378907740116
AATSC4c,45.39943918399513,9.079887836799026
VR1_A,45.33709204290062,9.067418408580124
ATS8se,45.305332720279694,9.061066544055938
MATS2Z,45.291471797041595,9.058294359408318
MPC9,45.24449651502073,9.048899303004145
MATS6se,45.22221423313022,9.044442846626044
MATS7m,44.91918142512441,8.983836285024882
n7Ring,44.79710725694895,8.95942145138979
MATS3m,44.76947082579136,8.953894165158271
AATSC1s,44.767041105777025,8.953408221155405
Xp-4dv,44.69722338952124,8.939444677904248
AATSC6i,44.54741683974862,8.909483367949724
ATS0s,44.522228106856346,8.90444562137127
MATS3p,44.472165543586016,8.894433108717203
piPC2,44.37376460060477,8.874752920120955
ATS6se,44.1739834100008,8.83479668200016
AATSC1are,43.843155298382044,8.768631059676409
ETA_beta,43.50342637486756,8.700685274973512
AATSC2i,43.30616261437535,8.661232522875071
fragCpx,43.26534239575267,8.653068479150534
AATS6d,43.233719017356634,8.646743803471328
ATSC3v,43.15118182450533,8.630236364901066
ETA_eta_FL,43.13933511078358,8.627867022156716
MATS4m,43.07254480570555,8.614508961141109
SpMAD_Dzse,42.98739743977785,8.597479487955571
ATSC6i,42.982983680441976,8.596596736088395
Xp-7dv,42.92875534668565,8.58575106933713
n7HRing,42.71877878904343,8.543755757808686
naHRing,42.69267791509628,8.538535583019257
AATSC1Z,42.628737734630704,8.52574754692614
MATS7p,42.6228789165616,8.52457578331232
AATS4s,42.60154632292688,8.520309264585375
MATS3pe,42.01823110692203,8.403646221384406
TpiPC10,41.97783624380827,8.395567248761655
MATS6m,41.928522411733866,8.385704482346773
MATS2m,41.869931146502495,8.373986229300499
MATS6pe,41.83434500172734,8.366869000345469
AATS8are,41.83010987192392,8.366021974384784
AATSC5v,41.8049552552402,8.36099105104804
BCUTdv-1l,41.79531580209732,8.359063160419463
AATS0p,41.724491050466895,8.34489821009338
Mv,41.697337210178375,8.339467442035675
AXp-6dv,41.37728083319962,8.275456166639923
AATS0i,41.26812485046685,8.25362497009337
Mp,41.20627012848854,8.241254025697708
MATS2i,41.15573067031801,8.231146134063602
MATS6dv,41.14810200408101,8.229620400816202
ATSC5m,41.05115951783955,8.21023190356791
MATS8are,40.97276850044727,8.194553700089454
GATS4p,40.71944340504706,8.143888681009411
MATS5Z,40.53239240497351,8.106478480994701
AATSC1p,40.26403636299074,8.052807272598148
AATSC7p,40.10894287750125,8.02178857550025
TIC5,39.774486020207405,7.954897204041481
MATS7v,39.539775758981705,7.907955151796341
AATS5dv,39.48128337226808,7.896256674453616
AATSC7pe,39.470033910125494,7.894006782025099
GATS4are,39.38600903656334,7.877201807312668
MAXsOH,39.379215240478516,7.875843048095703
ATSC4pe,39.32215586490929,7.864431172981858
AATS4m,39.264967042952776,7.852993408590555
ATS1p,38.987532913684845,7.797506582736969
AATSC3are,38.97248736396432,7.794497472792864
AATSC1pe,38.81799773871899,7.763599547743797
MATS7dv,38.59140960872173,7.718281921744347
n9FHRing,38.16942644864321,7.633885289728641
AATS2are,38.1174279935658,7.62348559871316
AATS2i,38.01099571585655,7.60219914317131
ATS0m,37.979687094688416,7.595937418937683
AXp-7dv,37.97535599023104,7.595071198046208
ATS5v,37.95903126895428,7.591806253790855
AATS7pe,37.948433596640825,7.589686719328165
AXp-1dv,37.80838552117348,7.561677104234695
piPC5,37.73468093946576,7.546936187893152
MATS7pe,37.545674135908484,7.509134827181697
SRW06,37.50594842620194,7.501189685240388
AATS1se,37.43434381112456,7.486868762224913
AATS1d,37.40805438160896,7.481610876321793
MATS1are,37.35585547517985,7.47117109503597
AATSC8are,37.302587212994695,7.460517442598939
piPC3,37.24106323719025,7.44821264743805
SM1_Dzp,37.23359500616789,7.4467190012335776
MATS5pe,37.16397135518491,7.4327942710369825
GATS1p,37.135314958170056,7.427062991634012
SIC4,36.854542534798384,7.370908506959677
BertzCT,36.794717306271195,7.358943461254239
NsOH,36.538464307785034,7.3076928615570065
MATS5dv,36.44503634609282,7.289007269218564
AATSC7Z,36.407810386270285,7.281562077254057
ATS3s,36.26888908073306,7.253777816146612
AATSC4are,36.228545397520065,7.245709079504013
AATSC6dv,36.20110072568059,7.240220145136118
MATS5m,36.15934918820858,7.231869837641716
AATSC5se,36.005182076245546,7.201036415249109
AATSC6p,35.969430569559336,7.1938861139118675
AATS1dv,35.94240916520357,7.188481833040714
Xp-2d,35.92595698684454,7.185191397368908
SssCH2,35.84122923202813,7.168245846405625
PEOE_VSA11,35.752266865223646,7.150453373044729
mZagreb2,35.74026747047901,7.1480534940958025
ATSC3Z,35.73794890753925,7.1475897815078495
AATSC7s,35.56220722012222,7.1124414440244434
MPC7,35.548546735197306,7.109709347039461
AATS6are,35.48712066374719,7.097424132749438
VSA_EState9,35.371496338397264,7.074299267679453
BCUTZ-1h,35.244115859270096,7.0488231718540195
AETA_eta_B,35.186678282916546,7.037335656583309
AATSC2m,35.11962664499879,7.023925328999757
AETA_eta_RL,34.88706287369132,6.977412574738264
AATS6p,34.87974131479859,6.975948262959719
ATS2p,34.72293402068317,6.944586804136634
SsF,34.56113441847265,6.9122268836945295
GATS3are,34.516907120123506,6.903381424024701
ATS1pe,34.265101313591,6.853020262718201
AATSC8s,34.172057976946235,6.834411595389247
ATSC8s,34.095512732863426,6.819102546572685
ATS8are,34.06393619813025,6.81278723962605
MWC08,34.03614203631878,6.807228407263755
AATS7se,34.01506702788174,6.8030134055763485
ETA_eta_L,33.95604223757982,6.791208447515965
ATS8d,33.78305425494909,6.756610850989818
MATS8p,33.629321398213506,6.7258642796427015
SlogP_VSA6,33.446956949308515,6.689391389861703
Kier3,33.347322890535,6.669464578106999
ATS3m,33.131214851513505,6.626242970302701
ATSC3m,32.91713817231357,6.583427634462714
nHBAcc,32.73202273435891,6.5464045468717815
MWC07,32.698197707533836,6.539639541506768
AATS8pe,32.58928110636771,6.517856221273542
Xp-6d,32.558747505769134,6.511749501153827
ATSC6pe,32.48851266130805,6.49770253226161
AATS8m,32.48817484267056,6.497634968534112
SpDiam_Dzi,32.46432988345623,6.492865976691246
AATSC3Z,32.19504402950406,6.439008805900812
AATS0v,32.075345762073994,6.415069152414799
ATS4i,31.916663825511932,6.383332765102386
ATSC0s,31.880523771047592,6.376104754209519
MATS1m,31.86625038832426,6.373250077664852
AATS6Z,31.78265953063965,6.3565319061279295
AATS6v,31.773814149200916,6.354762829840183
ATS2pe,31.68471986055374,6.336943972110748
MATS4p,31.480783046223223,6.296156609244645
ATS4d,31.444705748930573,6.2889411497861145
MATS6p,31.418099485337734,6.283619897067547
ATSC8se,31.28425956144929,6.256851912289858
PEOE_VSA4,31.265617161989212,6.253123432397842
AATS4se,31.223770666867495,6.244754133373499
AATSC5i,31.17895525880158,6.235791051760316
AATS2v,30.855467019602656,6.171093403920532
BCUTv-1h,30.664769385010004,6.1329538770020005
AATSC8p,30.61077636294067,6.122155272588134
ATS2s,30.602882670238614,6.120576534047723
AATSC3m,30.369881372898817,6.073976274579763
AATSC6m,30.262406669557095,6.052481333911419
ATS1i,30.22547623515129,6.045095247030258
GGI2,30.167807830497622,6.033561566099524
AATS2p,29.858713949099183,5.971742789819837
AATSC5pe,29.779998749494553,5.95599974989891
AATSC6Z,29.546747075393796,5.9093494150787595
AATSC4v,29.503939056769013,5.900787811353803
JGT10,29.494221137836576,5.898844227567315
Zagreb2,29.477500915527344,5.895500183105469
MDEC-34,29.43862298130989,5.887724596261978
AATS6m,29.374511640518904,5.874902328103781
AXp-3dv,29.254629407078028,5.8509258814156055
MATS2v,29.029311256483197,5.80586225129664
ETA_epsilon_2,28.976054409518838,5.795210881903768
SpDiam_Dzse,28.962679862976074,5.792535972595215
n6HRing,28.8965832144022,5.77931664288044
AATSC3s,28.895785246044397,5.779157049208879
AATS3are,28.828544046729803,5.765708809345961
GATS1Z,28.72845444828272,5.745690889656544
MWC02,28.654414981603622,5.730882996320725
AETA_alpha,28.61891431733966,5.723782863467932
Mse,28.558646259829402,5.71172925196588
SpDiam_Dzm,28.37660289183259,5.675320578366518
ATS6v,28.36810301989317,5.673620603978634
MATS5are,28.338129796087742,5.667625959217548
nBridgehead,28.048263162374496,5.6096526324749
MWC05,27.848944118246436,5.569788823649287
Xp-1dv,27.83487579971552,5.566975159943103
SM1_Dzm,27.831862397491932,5.566372479498386
AATSC5are,27.826951755210757,5.565390351042152
AATSC0m,27.798665832728148,5.559733166545629
MATS2p,27.7832468803972,5.55664937607944
AATS3pe,27.776918929070234,5.555383785814047
AATS2pe,27.702309265732765,5.540461853146553
AATSC5c,27.69246515072882,5.538493030145764
ATS3se,27.674946673214436,5.534989334642887
BCUTp-1h,27.527955189347267,5.505591037869453
SpMAD_Dzm,27.501491528004408,5.500298305600881
ATSC6Z,27.47770814411342,5.495541628822684
AATS0Z,27.439592020586133,5.487918404117226
AATS4dv,27.386356469243765,5.477271293848753
ZMIC0,27.127809934318066,5.425561986863613
AATS2s,27.11335378885269,5.422670757770538
AATSC2p,26.94330887310207,5.388661774620414
AATS7m,26.88222387805581,5.376444775611162
ATS7se,26.827259480953217,5.365451896190644
Xch-5d,26.726360607892275,5.345272121578455
MATS6v,26.69124661386013,5.338249322772026
SM1_Dzpe,26.48435291647911,5.2968705832958225
ATS2i,26.457609582692385,5.291521916538477
AATS0are,26.340696096420288,5.268139219284057
AATS4d,26.055436735972762,5.211087347194552
SpAD_Dzi,26.00042814016342,5.200085628032684
SZ,25.935959480702877,5.187191896140575
VR2_Dzp,25.900200128555298,5.18004002571106
n9FRing,25.854037299752235,5.170807459950447
ETA_epsilon_3,25.75662112236023,5.151324224472046
AATSC5m,25.681679997593164,5.136335999518633
SaasN,25.573050431907177,5.114610086381435
n6AHRing,25.492964431643486,5.098592886328698
Mi,25.421116892248392,5.084223378449678
AATS1pe,25.107414349913597,5.021482869982719
AATSC7se,24.931086488068104,4.986217297613621
ATSC8m,24.65056550502777,4.9301131010055546
AATSC6v,24.554744698107243,4.9109489396214485
ATS2Z,24.437804453074932,4.887560890614987
AATSC7m,24.391191338188946,4.878238267637789
MATS8pe,24.273833328858018,4.854766665771604
AATSC8se,24.25863679870963,4.851727359741926
TIC4,24.202726274728775,4.840545254945755
MDEO-12,24.194893775507808,4.838978755101562
Sv,24.17190173268318,4.834380346536636
SssO,24.057153970003128,4.811430794000626
ATSC3se,24.006385358050466,4.801277071610093
ATS1d,23.909594163298607,4.781918832659722
AATSC4p,23.824761444702744,4.764952288940549
MINaasN,23.82408873923123,4.764817747846246
MIC3,23.800365826115012,4.760073165223003
VR2_DzZ,23.79388576745987,4.758777153491974
MWC09,23.725799933075905,4.745159986615181
AATSC8i,23.64922248572111,4.729844497144223
mZagreb1,23.516685849055648,4.70333716981113
AETA_beta_ns,23.414222188293934,4.682844437658787
MWC10,23.277592366561294,4.6555184733122585
AATS8Z,23.26488173380494,4.652976346760989
ATS7i,23.19872484728694,4.639744969457388
Si,23.084383830428123,4.616876766085625
ATS7d,22.889506049454212,4.577901209890842
AATSC3se,22.854643117636442,4.570928623527289
BIC0,22.849496826529503,4.569899365305901
MAXssO,22.817086677998304,4.563417335599661
AATSC0pe,22.778321631252766,4.555664326250553
AATSC0Z,22.705993309617043,4.541198661923408
PEOE_VSA13,22.656989008188248,4.53139780163765
AATS3se,22.612658649683,4.5225317299366
AETA_dBeta,22.55117450095713,4.510234900191426
AATSC4pe,22.471708219498396,4.494341643899679
ATS0se,22.429548859596252,4.485909771919251
Kier1,22.362909339368343,4.472581867873669
ETA_dBeta,22.33163226954639,4.466326453909278
AATS3dv,22.315315924584866,4.463063184916973
ATSC5pe,22.202019549906254,4.440403909981251
AATSC6se,22.097112830728292,4.419422566145658
MINaaO,22.019096098840237,4.403819219768048
ATS2m,21.93715200573206,4.387430401146412
MATS6are,21.875299034640193,4.375059806928038
SpAD_D,21.864081904292107,4.3728163808584215
ATS2se,21.757630597800016,4.3515261195600035
AATS2se,21.757587127387524,4.351517425477505
ATS1Z,21.754845682531595,4.350969136506319
ATSC3pe,21.72253518179059,4.344507036358118
IC0,21.593561144545674,4.318712228909135
AATS4Z,21.49834895133972,4.299669790267944
PetitjeanIndex,21.460300128906965,4.292060025781393
VR2_Dt,21.438513541594148,4.28770270831883
ETA_dEpsilon_A,21.409072406589985,4.281814481317997
SM1_Dzare,21.392451886087656,4.278490377217532
ETA_beta_s,21.350509494543076,4.2701018989086155
AATS4pe,21.344814144074917,4.268962828814983
AATSC2v,21.157451063394547,4.231490212678909
AMID_X,21.083633858710527,4.216726771742105
SMR_VSA4,21.05582896247506,4.211165792495012
