feature,gain_sum,rank
ATSC6Z,67.48456453927793,526
ATS1v,67.43988255411386,527
plddt_res323,67.2662132254336,528
AATS6pe,67.15655816427898,529
SaaCH,67.09738138271496,530
AATS8v,67.08802741928957,531
ATSC2c,67.04781184904277,532
AATS6dv,66.89340026676655,533
AATSC2pe,66.52723631239496,534
ATS1d,66.25563489017077,535
GATS7d,66.04723448492587,536
ETA_eta_BR,65.92391047556885,537
AATS6se,65.60624333564192,538
SpAD_Dt,65.60014426149428,539
GGI9,65.59018774377182,540
MWC03,65.55302371457219,541
ATSC4m,65.55155449802987,542
ETA_eta_L,65.33314401516691,543
AATS3dv,65.23243701574393,544
ATSC1p,65.21892022131942,545
AATSC7v,65.2171268556267,546
ETA_epsilon_5,65.20886779227294,547
AXp-7d,65.11210790392943,548
AATS3p,64.73647383484058,549
ATSC6v,64.66817447333597,550
MATS1dv,64.62016759603284,551
ATSC5i,64.48958926741034,552
AATSC3c,64.3261352807749,553
TIC0,64.08630797616206,554
ATS5v,64.0367489005439,555
AATSC3s,63.98897447343916,556
Xch-7d,63.90058447350748,557
GATS2are,63.703052152413875,558
MWC02,63.639458229765296,559
ATSC7dv,63.63672652817331,560
MATS4c,63.590092146303505,561
plddt_pocket_min,63.57563022070099,562
ATSC3v,63.44765189662576,563
MATS3p,63.4337709415704,564
AATSC2dv,63.250460183946416,565
bpol,63.2295407562051,566
AATS2i,63.18745176540688,567
ATSC5c,63.06955063925125,568
MPC9,63.03992761299014,569
GATS4i,62.910062034847215,570
AATSC5m,62.90601452672854,571
AATSC2se,62.8450803658925,572
AATS5se,62.678066577529535,573
piPC2,62.38379861426074,574
AATSC5v,62.32627281197347,575
Xp-4dv,62.214396114926785,576
MATS2Z,62.14837049180642,577
AATS8i,62.01368873624597,578
MATS1pe,61.8676583772758,579
MDEO-11,61.74679167941213,580
GATS8Z,61.618854928878136,581
ATS8dv,61.515657409094274,582
GATS4pe,61.052658380474895,583
ATSC4Z,61.03984438220505,584
