feature,gain_sum,gain_mean
ATS5d,44.55683137476444,8.911366274952888
ETA_eta_F,44.493718076497316,8.898743615299463
ATSC8m,44.3619679659605,8.8723935931921
FCSP3,44.341459542512894,8.868291908502579
ATS2are,44.21933788061142,8.843867576122284
AATSC5p,44.0716302767396,8.81432605534792
ATS0pe,43.80722090601921,8.761444181203842
GATS2se,43.72743355482817,8.745486710965633
AATSC7se,43.34426421299577,8.668852842599154
ATSC2v,43.32500980421901,8.665001960843801
AATSC2Z,43.30387106537819,8.660774213075637
Mv,43.226283237338066,8.645256647467614
ATSC0se,43.1133161559701,8.62266323119402
MAXdsCH,43.10656300187111,8.621312600374221
AATS3dv,42.667981293052435,8.533596258610487
ATSC0m,42.66791719198227,8.533583438396454
MATS5c,42.55018551647663,8.510037103295327
ATS4i,42.548703327775,8.509740665555
MATS8p,42.53343980759382,8.506687961518764
AATS2se,42.52195419371128,8.504390838742257
ATS2Z,42.48639675229788,8.497279350459575
Xp-2d,42.399673983454704,8.47993479669094
CIC5,42.29663497209549,8.459326994419097
PEOE_VSA12,42.21916811913252,8.443833623826503
ATS3p,42.15622487664223,8.431244975328445
MPC7,42.13257019221783,8.426514038443566
nBridgehead,42.095160476863384,8.419032095372676
GATS3m,41.94867614656687,8.389735229313374
BCUTare-1h,41.7798547744751,8.35597095489502
AATSC6p,41.74397114664316,8.348794229328632
MWC05,41.69641016051173,8.339282032102346
ATS7pe,41.66990938782692,8.333981877565384
MATS6pe,41.563489090651274,8.312697818130255
MATS6are,41.36791370809078,8.273582741618156
MATS4se,41.02102593705058,8.204205187410116
GATS5m,40.94745051860809,8.189490103721619
GATS7m,40.88411670550704,8.176823341101407
MATS7m,40.58459008485079,8.116918016970157
MATS8v,40.571488708257675,8.114297741651535
MPC4,40.09486822783947,8.018973645567893
AATS8m,39.9048822298646,7.980976445972919
AXp-5dv,39.84734344482422,7.969468688964843
MATS7Z,39.69799952954054,7.939599905908108
MW,39.65430016070604,7.930860032141209
MATS6p,39.55814154446125,7.91162830889225
SpMAD_Dzm,39.089636743068695,7.817927348613739
ATS2pe,39.06639574468136,7.813279148936272
SpDiam_Dzi,39.05050638318062,7.810101276636123
MIC2,38.9610958583653,7.792219171673059
