id,submission_name,file_path,lb_mae,lb_delta_mae_vs_base,lb_spearman,mean_abs_delta_vs_base,p90_abs_delta_vs_base,max_abs_delta_vs_base,pearson_delta,spearman_delta,projection_on_id_delta,id_projection_on_candidate
36,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4145866903151991,0.007197971432873318,0.8454463307068544,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
38,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4109513858637011,0.0035626669813753065,0.8397285194081103,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
39,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4080327859318756,0.0006440670495497791,0.8465176451241602,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
40,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4110413223574798,0.0036526034751540037,0.8436833339972705,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
41,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4137047577516737,0.006316038869347895,0.8369401280961621,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
42,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.409074454235369,0.0016857353530431718,0.8475717867383492,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
43,ens_hybrid_meta_baseline_5050,track1_activity/submissions/ens_hybrid_meta_baseline_5050.csv,0.4074838675224626,9.514864013676627e-05,0.8470495157914333,0.02355766326929024,0.06364181004910974,0.221386778559296,-0.21879792444912635,-0.35939007285794256,-0.06511329445107002,-0.6549222212228233
44,ens_caruana_bag20_anchor_residual,track1_activity/submissions/ens_caruana_bag20_anchor_residual.csv,0.4090205188659963,0.0016317999836704677,0.8447606118985267,0.032029928037572195,0.06343931012944123,0.29072249540943407,-0.1537134412611473,-0.12757004020444573,-0.04253665159782481,-0.5810691265834798
45,ens_caruana_bag20_admet_ai_no_log2fc_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_admet_ai_no_log2fc_calibrated_importance.csv,0.4093625824408419,0.001973863558516087,0.8428619387501411,0.036200217835140665,0.07816891860694801,0.2772011381707449,0.11262993987204557,0.21098360183613588,-0.00786401924091756,-0.1274143163012172
46,ens_region_v2_blend_a8,track1_activity/submissions/ens_region_v2_blend_a8.csv,0.4091592405210825,0.0017705216387566836,0.8435311179844552,0.042206535001787046,0.09372796733171551,0.20892194793578867,-0.025231699309247353,-0.04124389204630611,-0.029715602806749224,-0.615809741687206
47,ens_hybrid_meta_baseline_5050,track1_activity/submissions/ens_hybrid_meta_baseline_5050.csv,0.4074838675224626,9.514864013676627e-05,0.8470495157914333,0.02355766326929024,0.06364181004910974,0.221386778559296,-0.21879792444912635,-0.35939007285794256,-0.06511329445107002,-0.6549222212228233
48,ens_meta_axis_a343,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a343.csv,0.4074004936698981,1.1774787572305101e-05,0.8471828179505669,0.020423990771128504,0.059495851719336024,0.23131836583106224,-0.17218227157588026,-0.21120891539938655,-0.06510279233378667,-0.5729020939652766
49,ens_resid_lowd_core_ridge_a10p0_s50_hybrid,track1_activity/submissions/ens_resid_lowd_core_ridge_a10p0_s50_hybrid.csv,0.4196878176889805,0.012299098806654696,0.8397551891276488,0.07279720791743864,0.12386560803834465,0.31863816321543537,-0.20915422761514682,-0.3201247214113658,-0.04415823460401305,-2.222550501030064
50,ens_internal_decor_cap101_bf50_b40_i1_l20,track1_activity/submissions/ens_internal_decor_cap101_bf50_b40_i1_l20.csv,0.4092437336283291,0.0018550147460033029,0.8457997747810736,0.03989941890033575,0.08712516171073247,0.2828484399134634,-0.1597916932388399,-0.15783092959073705,-0.08460209190801501,-1.6352295999762256
51,ens_meta_axis_reverse_id50_g10,track1_activity/submissions/ens_meta_axis_reverse_id50_g10.csv,0.4073264585428647,-6.226033946110654e-05,0.8470061860437725,0.018806489727703594,0.055688476825242715,0.22616535842282204,-0.1718587215709439,-0.22615536012176923,-0.05602957470540144,-0.46666934336417853
52,ens_repooled_trunk_swap_core_calibrated_importance,track1_activity/submissions/ens_repooled_trunk_swap_core_calibrated_importance.csv,0.4087104501774921,0.001321731295166273,0.8443320030332099,0.03047497893488169,0.06695136361499188,0.21858408436846144,0.09351400501778356,0.19628297236196027,-0.022928208133619194,-0.25905883635799526
53,ens_repooled_trunk_core_only_calibrated_importance,track1_activity/submissions/ens_repooled_trunk_core_only_calibrated_importance.csv,0.4105644448288402,0.003175725946514385,0.8414765484110365,0.04445248504416905,0.09543241376103077,0.35477144799705407,0.08551897137156053,0.17168639830534643,-0.01041818597427922,-0.25422705041549154
54,ens_id51_plus_potent_noaux_a30_delta_g050,track1_activity/submissions/ens_id51_plus_potent_noaux_a30_delta_g050.csv,0.409582091172509,0.002193372290183182,0.844862672230052,0.03236569114313577,0.05939180979993495,0.2607203219097345,-0.17527890841556593,-0.3024765996606374,-0.04569662017304841,-0.5918971659824351
55,ens_id51_top500_potent46_t40_soft_g35,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g35.csv,0.4070801895382421,-0.0003085293440837078,0.8454935505202855,0.005641946918311075,0.01670654304757324,0.06784960752684555,-0.1718587215709428,-0.22477778717308258,-0.18676524901800362,-0.1400008030092523
56,ens_swap_optuna_t10_top500_calibrated_importance,track1_activity/submissions/ens_swap_optuna_t10_top500_calibrated_importance.csv,0.4134599905046804,0.0060712716223546015,0.8392822752807368,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
57,ens_id51_top500_potent46_t40_soft_g50,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g50.csv,0.4073887188823258,0.0,0.8453135072419771,0.0,0.0,0.0,,,,0.0
58,ens_id55_combo_gate_rank1,track1_activity/submissions/ens_id55_combo_gate_rank1.csv,0.4075200760754026,0.0001313571930767754,0.8446574919978685,0.012070610906772817,0.030146557547051426,0.07259004021601889,0.27264483631250275,0.2776534839643904,0.30417662504890314,0.6833298937984021
