inchikey,smiles,mol_chembl_id,chembl_pxr_pchembl,n_chembl_pxr_rows,assays,overlaps_challenge_exact
MWCQWYCYOKYQII-UHFFFAOYSA-N,Clc1ccc(C2(c3nnc4c(Oc5cccc(Cl)c5)cccn34)CC2)cc1,CHEMBL3318963,6.1,1,CHEMBL3364417,False
MYKBYRIJFGEXHC-BYXIYGGRSA-N,CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](C)(O)C3)c2)cc1,CHEMBL5202191,4.3,1,CHEMBL5148492,False
MZPIGIZRUYSBGI-UHFFFAOYSA-N,COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1C#N,CHEMBL4879151,5.96,1,CHEMBL4834541,False
MZZLGJHLQGUVPN-HAWMADMCSA-N,COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,CHEMBL1800807,5.41,1,CHEMBL4843602,False
NANZUJJGBSAWIF-UHFFFAOYSA-N,COc1ccc(C(N)=O)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,CHEMBL4847654,5.61,1,CHEMBL4834541,False
NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CHEMBL163,5.4,1,CHEMBL3531531,True
NLQQVCNZVHZKAD-UHFFFAOYSA-N,COc1ccc(C)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,CHEMBL4866481,5.75,1,CHEMBL4834541,False
NMKUHNALTSCROZ-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)N1CCSc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,CHEMBL4210791,7.7,1,CHEMBL4182854,False
NMYJDIHSRSZBDZ-UHFFFAOYSA-N,COc1ccccc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,CHEMBL4871806,6.1,1,CHEMBL4834541,False
NNJPGOLRFBJNIW-HNNXBMFYSA-N,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,CHEMBL312862,4.9,1,CHEMBL3531531,False
NOBJPNQIXTZNJE-UHFFFAOYSA-N,COc1ccc(C)cc1-n1cc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)nn1,CHEMBL4858627,6.22,1,CHEMBL4834541,False
NQUHJTKYAOJHDD-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(OCc3ccccc3F)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,CHEMBL4793401,6.2,1,CHEMBL4701268,False
NSZYZBKBHITSPM-UHFFFAOYSA-N,CCc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1C,CHEMBL4859936,6.05,1,CHEMBL4834541,False
NUBQKPWHXMGDLP-BDEHJDMKSA-N,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,CHEMBL1735,4.824999999999999,2,"CHEMBL3531531,CHEMBL3531532",False
NZCRJKRKKOLAOJ-XRCRFVBUSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL1617,4.85,2,"CHEMBL3531531,CHEMBL3531532",False
OBPRFPBKSUICFQ-UHFFFAOYSA-N,FC(F)(F)Oc1ccccc1Oc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL3318967,6.52,1,CHEMBL3364417,False
OCPBFYICLBKMRJ-OTQYBARZSA-N,CN1CC2CCC(C1)N2C(=O)[C@]12C[C@H]1c1cc(F)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(C)(=O)=O)cc3n1C2,CHEMBL4081189,5.08,1,CHEMBL4056156,False
ODDIZXNBPIGTFD-UHFFFAOYSA-N,Cc1ncccc1Oc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL3318972,5.55,1,CHEMBL3364417,False
OHCQJHSOBUTRHG-KGGHGJDLSA-N,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,CHEMBL52606,5.57,3,"CHEMBL3531530,CHEMBL3531531,CHEMBL3531532",False
OIVIUWLZJLMQOZ-UHFFFAOYSA-N,COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2N)c1,CHEMBL4850664,6.37,1,CHEMBL4834541,False
OJRNEIVXJKJKOX-UHFFFAOYSA-N,COc1ccc(Cl)cc1-c1nc(C)c(S(=O)(=O)c2ccc(C(C)(C)C)cc2)[nH]1,CHEMBL4865234,6.3,1,CHEMBL4834541,False
OLSYLXLXFVIGDV-PGUFJCEWSA-N,CCOc1ccc2c(C(=O)N[C@H](c3ccccc3)C(F)(F)F)c(CN3CCC(N4CCCCC4)CC3)c(-c3cccc(C(F)(F)F)c3)nc2c1,CHEMBL4068023,5.89,1,CHEMBL3997736,False
OMYNIZMYRGKJIF-INIZCTEOSA-N,O=S(=O)(c1ccc(F)cc1)[C@@]1(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CCNC1,CHEMBL3907312,6.36,1,CHEMBL4339771,False
OMYNIZMYRGKJIF-MRXNPFEDSA-N,O=S(=O)(c1ccc(F)cc1)[C@]1(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CCNC1,CHEMBL4115190,6.28,1,CHEMBL4339771,False
OQHUMCVYLJQAPZ-UHFFFAOYSA-N,CC(C)(C)c1noc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)n1,CHEMBL5172239,4.3,1,CHEMBL5148492,False
OUJTZYPIHDYQMC-LJQANCHMSA-N,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,CHEMBL1111,4.5,2,"CHEMBL3531531,CHEMBL3531532",False
