feature,src,gain,gain_frac,cum_gain,split
rdkit:FpDensityMorgan1,rdkit,13.97079612314701,0.00033432702635106026,0.904432761022668,12
mordred:AMID_h,mordred,13.890823543071747,0.0003324132488790745,0.9047651742715471,8
mordred:MATS7i,mordred,13.890778988599777,0.0003324121826718238,0.9050975864542189,11
mordred:ETA_dEpsilon_C,mordred,13.82629570364952,0.0003308690705458764,0.9054284555247648,5
mordred:SMR_VSA9,mordred,13.82230693101883,0.0003307736175394296,0.9057592291423042,4
mordred:CIC2,mordred,13.797091841697693,0.0003301702098482999,0.9060893993521525,7
mordred:MATS5s,mordred,13.775179117918015,0.0003296458291533176,0.9064190451813058,9
rdkit:Phi,rdkit,13.774258315563202,0.0003296237939657429,0.9067486689752715,4
mordred:MATS2d,mordred,13.711785167455673,0.00032812878525976266,0.9070767977605313,12
mordred:ATSC6se,mordred,13.710864901542664,0.0003281067629094659,0.9074049045234408,7
mordred:AATS6d,mordred,13.664571076631546,0.00032699893221144953,0.9077319034556522,14
mordred:GATS4se,mordred,13.594281077384949,0.00032531686297049923,0.9080572203186228,10
mordred:MWC10,mordred,13.582886636257172,0.0003250441892026192,0.9083822645078254,4
mordred:ATS1dv,mordred,13.560979902744293,0.0003245199518572405,0.9087067844596827,7
mordred:ATS8p,mordred,13.533764690160751,0.0003238686803753317,0.909030653140058,4
mordred:nBridgehead,mordred,13.526602953672409,0.0003236972970094482,0.9093543504370675,13
mordred:GGI7,mordred,13.514184474945068,0.0003234001175911732,0.9096777505546586,4
mordred:AATSC4are,mordred,13.497740268707275,0.00032300660082063806,0.9100007571554792,2
mordred:Xp-4d,mordred,13.495889902114868,0.00032296232076994906,0.9103237194762492,4
mordred:ATSC8pe,mordred,13.467135787010193,0.0003222742227035565,0.9106459936989528,7
rdkit:HeavyAtomMolWt,rdkit,13.398289918899536,0.0003206267121279882,0.9109666204110808,6
mordred:MATS5p,mordred,13.36635610461235,0.00031986252252300264,0.9112864829336038,9
mordred:AATS5v,mordred,13.362367987632751,0.00031976708520656223,0.9116062500188103,4
mordred:AETA_eta_R,mordred,13.313249826431274,0.00031859166695340235,0.9119248416857637,2
mordred:MATS6c,mordred,13.212381899356842,0.00031617785504062826,0.9122410195408044,13
mordred:piPC6,mordred,13.20735502243042,0.00031605755976183173,0.9125570771005662,7
mordred:JGI9,mordred,13.171191930770874,0.000315192161770792,0.912872269262337,12
mordred:AATSC5se,mordred,13.034937977790833,0.00031193154737724855,0.9131842008097143,11
mordred:AATS8m,mordred,13.006302565336227,0.00031124628991519005,0.9134954470996295,3
mordred:ATS1Z,mordred,12.958529472351074,0.00031010305971008697,0.9138055501593396,2
mordred:ATS8s,mordred,12.923973619937897,0.0003092761236301035,0.9141148262829697,2
mordred:MATS7pe,mordred,12.861944019794464,0.0003077917292134288,0.9144226180121832,9
mordred:VR3_A,mordred,12.861560225486755,0.00030778254485424873,0.9147304005570374,4
