label,k,alpha,gamma,clip,oof_mae,oof_delta_mae,oof_spearman,oof_delta_spearman,oof_resid_std,test_resid_std,test_mean_shift,test_mean_abs_shift,test_p90_abs_shift,test_max_abs_shift,test_gt_005,test_gt_010,test_gt_020
k16_a0p85_gm0p5_c0p03,16,0.85,-0.5,0.03,0.3920671755489011,0.0006231809614117845,0.8485627819805842,-0.0004679468201532755,0.08762491176603114,0.09867011773650172,-0.018929581141469583,0.025813661233529735,0.03000000000000025,0.03000000000000025,0,0,0
k8_a0p85_gm0p5_c0p03,8,0.85,-0.5,0.03,0.3921319402516221,0.0006879456641328274,0.8488136419178055,-0.00021708688293198275,0.11980529604452175,0.14798174257800073,-0.024973324209316645,0.027359830108478648,0.03000000000000025,0.03000000000000025,0,0,0
k8_a0p5_gm0p25_c0p06,8,0.5,-0.25,0.06,0.39213831883329814,0.0006943242458088417,0.8489467855008942,-8.394329984329207e-05,0.06343311123286723,0.05321498591302426,-0.013642657323137512,0.014815080391675919,0.02852490458887491,0.06000000000000005,11,0,0
k16_a0p85_gm0p25_c0p06,16,0.85,-0.25,0.06,0.3921439259558101,0.0006999313683208053,0.84866545491353,-0.00036527388720752896,0.08762491176603114,0.09867011773650172,-0.022196959824270012,0.026999864256491476,0.054971362939217984,0.06000000000000005,62,0,0
k16_a0p5_gm0p5_c0p06,16,0.5,-0.5,0.06,0.39225309623539145,0.0008091016479021551,0.8486083653047372,-0.00042236349600033307,0.04812028375386364,0.04459693384553734,-0.01829383905302266,0.023368690845696274,0.04684518157706332,0.06000000000000005,37,0,0
k32_a0p85_gm0p5_c0p06,32,0.85,-0.5,0.06,0.3923608307954045,0.000916836207915217,0.8480087528869534,-0.0010219759137840567,0.06348609563854,0.06818919544916067,-0.01774125270127608,0.02967906455806211,0.05999999999999961,0.06000000000000005,108,0,0
k8_a0p85_g0p5_c0p06,8,0.85,0.5,0.06,0.3923985267957666,0.0009545322082772922,0.8470809684224254,-0.001949760378312071,0.11980529604452175,0.14798174257800073,0.0457758289732006,0.04988836072625256,0.06000000000000005,0.06000000000000005,367,0,0
k8_a0p5_gm0p5_c0p06,8,0.5,-0.5,0.06,0.39268188712365026,0.0012378925361609672,0.8485346479156101,-0.0004960808851274257,0.06343311123286723,0.05321498591302426,-0.025088009918739787,0.027421171422486297,0.057049809177750356,0.06000000000000005,82,0,0
k8_a0p85_gm0p25_c0p06,8,0.85,-0.25,0.06,0.3926948676607933,0.0012508730733040152,0.8484405177707454,-0.000590211029992127,0.11980529604452175,0.14798174257800073,-0.03612221954293768,0.03895741446654506,0.05999999999999961,0.06000000000000005,199,0,0
k16_a0p85_gm0p5_c0p06,16,0.85,-0.5,0.06,0.3929348315085405,0.0014908369210512307,0.8478032279276814,-0.0012275008730561199,0.08762491176603114,0.09867011773650172,-0.03397224093830958,0.04313654840995664,0.05999999999999961,0.06000000000000005,268,0,0
k8_a0p85_gm0p5_c0p06,8,0.85,-0.5,0.06,0.39320188139708595,0.0017578868095966538,0.8479619687577491,-0.0010687600429883926,0.11980529604452175,0.14798174257800073,-0.04577582897320061,0.04988836072625256,0.06000000000000005,0.06000000000000005,367,0,0
