compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x03004-1,6DUP,HCJ,A,11.0,0.25,SHAPEFIT,0.6413400491332047,structures/boltz2_track2/redock_posit/x03004-1/x03004-1_posit.pdb,
x03006-1,6XP9,QCG,A,11.0,0.05000000074505806,FRED,0.6330782802644215,structures/boltz2_track2/redock_posit/x03006-1/x03006-1_posit.pdb,
x03015-1,6S41,KUB,A,8.0,0.05000000074505806,FRED,0.6469351104485678,structures/boltz2_track2/redock_posit/x03015-1/x03015-1_posit.pdb,
x03026-1,6BNS,XGH,A,10.0,0.019999999552965164,FRED,0.5593121797302201,structures/boltz2_track2/redock_posit/x03026-1/x03026-1_posit.pdb,
x03030-1,9BEQ,AP1,A,11.0,0.019999999552965164,FRED,1.044716974862686,structures/boltz2_track2/redock_posit/x03030-1/x03030-1_posit.pdb,
x03033-1,4NY9,2Q4,A,9.0,0.019999999552965164,FRED,0.7565933376033752,structures/boltz2_track2/redock_posit/x03033-1/x03033-1_posit.pdb,
x03037-1,7RIO,5YX,A,10.0,0.05000000074505806,FRED,0.29876266835662457,structures/boltz2_track2/redock_posit/x03037-1/x03037-1_posit.pdb,
x03039-1,6XP9,QCG,A,7.0,0.009999999776482582,FRED,0.663287792734484,structures/boltz2_track2/redock_posit/x03039-1/x03039-1_posit.pdb,
x03051-1,2O9I,444,A,9.0,0.18000000715255737,HYBRID,0.7088498788429344,structures/boltz2_track2/redock_posit/x03051-1/x03051-1_posit.pdb,
x03055-1,2O9I,444,A,12.0,0.25,SHAPEFIT,0.688792714404851,structures/boltz2_track2/redock_posit/x03055-1/x03055-1_posit.pdb,
x03059-1,1NRL,SRL,A,6.0,0.23999999463558197,FRED,0.6391288254932921,structures/boltz2_track2/redock_posit/x03059-1/x03059-1_posit.pdb,
x03063-1,,,,,,,,,no_template_with_min_mcs
x03065-1,7AXD,S6W,A,8.0,0.17000000178813934,HYBRID,0.3567754756191203,structures/boltz2_track2/redock_posit/x03065-1/x03065-1_posit.pdb,
