compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,boltz_model_0,7.7252123022095915,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,boltz_model_1,8.391465377933564,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,boltz_model_2,7.662972134865735,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,boltz_model_3,8.17780958514905,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,boltz_model_4,8.685222141786863,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,gnina_refined,7.847260507298912,,
x00558-1,12,7RIO,5YX,11.0,0.9166666666666666,template_transferred,0.055601469026039234,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,boltz_model_0,2.532918179689092,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,boltz_model_1,6.559706562467943,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,boltz_model_2,6.285658598786304,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,boltz_model_3,2.1735442510428413,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,boltz_model_4,2.321144706950749,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,gnina_refined,2.6261711682629376,,
x00612-1,18,6HTY,GRH,16.0,0.8888888888888888,template_transferred,0.08098832670852535,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,boltz_model_0,2.76798630777178,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,boltz_model_1,6.60040402624711,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,boltz_model_2,2.61213970666495,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,boltz_model_3,2.5778843789478363,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,boltz_model_4,2.6853468156798876,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,gnina_refined,3.0454832735341744,,
x00625-1,18,6S41,KUB,15.0,0.8333333333333334,template_transferred,0.031658334902045386,,
x00638-1,15,,,,,,,mcs_below_threshold,
x00644-1,15,,,,,,,mcs_below_threshold,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,boltz_model_0,5.586231049748357,,
