rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
44,interstellar-explorer,2026-04-13 23:12 UTC,,0.5418347069542088,0.0385085644614876,0.6800690766738261,0.0291739074910895,0.4040423829586642,0.0519447749807773,0.7389306159033603,0.0300446103479561,0.545893256335776,0.0275005364284949,No
45,ranga_31489,2026-04-12 22:11 UTC,https://github.com/quantumdolphin/OPENADMET-PXR-activity-pred/blob/c02fd2a86421f9a808327071c2a9d7894aaa4d02/METHOD_REPORT.md,0.5443146182699605,0.036339216913922,0.6835232366601273,0.0323764658030651,0.4194865227708032,0.050490619412348,0.7255509311092441,0.0294029451182141,0.5266760055948212,0.0268101272066797,No
46,ranga31489,2026-04-12 23:37 UTC,https://github.com/quantumdolphin/OPENADMET-PXR-activity-pred/blob/c02fd2a86421f9a808327071c2a9d7894aaa4d02/METHOD_REPORT.md,0.5443146182699605,0.036339216913922,0.6835232366601273,0.0323764658030651,0.4194865227708032,0.050490619412348,0.7255509311092441,0.0294029451182141,0.5266760055948212,0.0268101272066797,No
47,HungryCapybara,2026-04-16 01:12 UTC,,0.5453839467616601,0.0331125519542573,0.6849494559390373,0.0282905570524672,0.4715859815383342,0.0386623798341922,0.7499608577761476,0.0266767458771209,0.5449172491524938,0.0239743171271746,No
48,sıkıntıyok,2026-04-16 08:26 UTC,,0.5474336719758808,0.0324683823602797,0.6876682151635864,0.0305945885251901,0.4801361551150465,0.0349071061146779,0.7465578838522787,0.0279957678414524,0.5469543324940329,0.0261013074107013,No
49,bekirpashaliev,2026-04-15 03:10 UTC,,0.5479487316116289,0.0368542891952394,0.6881053720596442,0.0334833303232873,0.4128565233931044,0.0487347891368439,0.7446473102649935,0.0319727241477483,0.5518070153162218,0.0278869616189532,No
50,chemprop,2026-04-13 23:11 UTC,,0.5589320470692742,0.0388321812248439,0.7016692660943777,0.0315758319658965,0.3725205010995766,0.0558129038591224,0.7183758968255904,0.0331614696883748,0.5277678716128353,0.029300077239804,No
51,openadmet-lgbm-baseline,2026-03-31 11:02 UTC,,0.5781541242659686,0.0344188907227836,0.7266525832563295,0.0404414891810151,0.3976920310065385,0.0499417623407703,0.6824031055496546,0.0340332526783408,0.4860465051322687,0.0296575244879983,No
52,your-hf-username-here,2026-04-07 11:47 UTC,,0.5781541242659686,0.0344188907227836,0.7266525832563295,0.0404414891810151,0.3976920310065385,0.0499417623407703,0.6824031055496546,0.0340332526783408,0.4860465051322687,0.0296575244879983,No
53,QUPPFV,2026-04-16 10:54 UTC,,0.5793123506695652,0.0369733868980948,0.7273976988861036,0.0295448852337798,0.3738190659245866,0.04639566448361,0.6353983501293164,0.0404181985377458,0.4458325351974259,0.0326648929565441,No
54,ebee,2026-04-06 16:05 UTC,,0.5798046528588342,0.0377582296224527,0.7280630449804308,0.0323676700786705,0.3670452410820899,0.048539090703942,0.6469547972122488,0.0411756086543491,0.4695830881593711,0.0334137792038986,No
55,trial-0,2026-04-03 21:44 UTC,,0.5800334436503851,0.0334907217524026,0.7291363799226801,0.0414395752929848,0.4147855318636416,0.0488668784038425,0.6832812729727555,0.0349260142960869,0.4883064119480708,0.029535630660816,No
56,Takuya Suzuoka,2026-04-04 12:21 UTC,,0.5800334436503851,0.0334907217524026,0.7291363799226801,0.0414395752929848,0.4147855318636416,0.0488668784038425,0.6832812729727555,0.0349260142960869,0.4883064119480708,0.029535630660816,No
57,Cloud,2026-04-04 21:49 UTC,,0.5800334436503851,0.0334907217524026,0.7291363799226801,0.0414395752929848,0.4147855318636416,0.0488668784038425,0.6832812729727555,0.0349260142960869,0.4883064119480708,0.029535630660816,No
58,sdfgsdfg,2026-04-06 16:23 UTC,,0.5832633984675638,0.0381798757433639,0.7323496227950417,0.0316765532472551,0.3545042271200259,0.0466197566435375,0.6333143646713892,0.0407896521841618,0.452771643350013,0.0325072700206782,No
59,HungryCapybara,2026-04-13 07:04 UTC,,0.5842560023715416,0.0365520198782096,0.7338334126193209,0.0338013960406846,0.3678124481477482,0.0475241984412913,0.689469642683328,0.0311130867737432,0.4892942091867374,0.026642368248018,No
