rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
16,Zoboomafoo83,2026-05-10 22:44 UTC,,0.4367770071833992,0.0303512589108985,0.548450457497609,0.0272483934101563,0.611150648247876,0.0402750563802431,0.831518547293007,0.0211007523751803,0.6374300422179866,0.0219803959432829,No
17,i597,2026-05-14 15:24 UTC,,0.4411626352722969,0.0328208032997896,0.5537767209711288,0.0280300552847827,0.5771525505220644,0.0440534322124966,0.8239830356848166,0.0214482543954931,0.627522195939915,0.022692399107642,No
18,jordanshivers,2026-05-12 22:21 UTC,,0.4415129694549741,0.0315049504730091,0.554355802208951,0.0283703870958934,0.5944727663973126,0.0403099695254212,0.8180224864788596,0.0234934957765029,0.6399599772675459,0.0247121499855387,No
19,lbaimlj,2026-05-16 12:00 UTC,,0.4418386795446641,0.0255784990475955,0.5555664823244529,0.0342422951731525,0.6532308422749231,0.0363559211438607,0.8165945980953203,0.0233945160977415,0.6238299755285316,0.0238224789578128,No
20,jeremy,2026-05-16 08:58 UTC,https://github.com/jeremycheminf/openadmet_scripts/blob/main/PXR/2D,0.4430163900894426,0.0347420536869462,0.5559245978106142,0.0277967247763324,0.5491715012786871,0.0480482657748801,0.8315324920270557,0.0210808572431243,0.6409749413132548,0.0229605669185173,No
21,lbaweja12,2026-05-16 11:29 UTC,,0.4440125380648222,0.0261014553024639,0.5582652602664883,0.0343363828058078,0.6477321867600851,0.0369632837301839,0.812760252990044,0.0239907812978393,0.6199668155510556,0.0244908084067277,No
22,mps-go-brrr,2026-05-05 06:23 UTC,,0.4461998984000001,0.0305551751192405,0.560182444939955,0.0250159395359073,0.5961295510956307,0.0320420533548629,0.8262449400743747,0.0218111536108523,0.6284045981264564,0.0225237912270551,No
23,Uncertain-Tea,2026-05-15 06:36 UTC,,0.4465792020325353,0.0326386021098289,0.5604582740836389,0.0245528524900432,0.5673385261790332,0.0410798484731798,0.8445955896147715,0.0184647153964617,0.650181201012402,0.0208417336263477,No
24,foobar,2026-05-04 13:06 UTC,https://model-version.invalid/test1/68,0.4467511286947915,0.0307618978063566,0.5610745315794712,0.0294033641839226,0.5918936505375976,0.0428872314657264,0.815097258615753,0.0226097324171062,0.6294069642006838,0.0237723518141956,No
25,matcha-croissant,2026-05-15 08:10 UTC,,0.4525615117797096,0.0311746293900882,0.5680641455695201,0.023221062715452,0.5848281861445279,0.0371797200372073,0.8290867802514142,0.0207777474253431,0.6339295400343814,0.0223950516119085,Yes
26,TakuyaPKPD,2026-05-08 00:15 UTC,,0.4559778867370331,0.0297891349745161,0.5725665398471095,0.0253259292895745,0.6042308359106695,0.0361747631887614,0.834728532445795,0.0207523987781665,0.6415469607648849,0.0219170136739203,No
27,testify,2026-04-29 01:22 UTC,,0.456653342173434,0.0318405657190517,0.5733942294315995,0.0285594083074689,0.5780023463307742,0.0392448967780507,0.8087389758413858,0.0226831617129361,0.6070326076020593,0.0234645300698899,No
28,rchshtr,2026-05-08 01:35 UTC,,0.4583597760355221,0.0323392302540732,0.5753886411646667,0.0262755613510001,0.5668586353355018,0.0378187484472413,0.8117537674181555,0.0230342552657879,0.6133996507878585,0.0240373804073671,No
29,North Coil,2026-05-14 00:30 UTC,,0.4608520308418972,0.0328453464104338,0.5785440462309989,0.0275717841354262,0.5572467922975154,0.0433058322901135,0.8149587594711192,0.0221053947816316,0.6177489903488773,0.0230003667279964,No
30,popdog,2026-05-14 04:14 UTC,,0.4610681519237153,0.0326706282508175,0.5787469810381342,0.0256558901752562,0.5585357026112032,0.0398658898908894,0.821100625442034,0.0204689657728211,0.6224291066991634,0.0216426404864716,No
31,vaksaf,2026-05-08 04:41 UTC,,0.4611053192860901,0.0320763150108924,0.5788782284262717,0.0265118015704459,0.5667301085636662,0.037023802459997,0.809013342965624,0.0234706336665507,0.6105756922932564,0.024146782362658,No
32,KalenJosifovski,2026-05-14 09:08 UTC,run1_butina_hpo_keep_tabpfn_2026-05-12_calib,0.4617674881621153,0.0313560185334391,0.5799048285754285,0.0293175983650666,0.5707775579782641,0.0388181368904754,0.8087716131004858,0.0238216613077226,0.6245812846476619,0.0243358437591044,No
33,avocado,2026-04-29 23:46 UTC,,0.4620297934085449,0.031195861668032,0.5802610293859801,0.029432166754689,0.5797827066127944,0.0378615254768005,0.8035168807601613,0.0234280442583028,0.6028619049557259,0.0241108183348729,No
34,Koala,2026-05-05 00:47 UTC,,0.4625222677522649,0.0282567174991132,0.5810677386911173,0.0284985107215772,0.6138824713910317,0.034430746986291,0.7858673930212288,0.0276668421896453,0.5899847817140726,0.026338680219162,No
35,asidsal11,2026-05-06 17:47 UTC,,0.463537528853755,0.0337967693551432,0.581820911435986,0.0271155746472065,0.5405757594588606,0.0470566590831188,0.8055513067430599,0.02291748170391,0.6075478227390745,0.0234229712571074,No
36,tguttenb1,2026-05-15 16:18 UTC,,0.4648362422024467,0.0343523018711384,0.5835613901696345,0.0304125350428087,0.5386345822910259,0.0457390144102828,0.8168483825126314,0.0222111579192002,0.6172728856017431,0.0231074265595414,No
37,yg3191,2026-05-10 00:28 UTC,,0.4653406783961419,0.0337326908058896,0.5842137522519438,0.0295934114744851,0.5340067682685357,0.0500784419240489,0.786186906348808,0.0286801814974868,0.5985420154503446,0.0266566229352655,No
