rank,username,Submitted,model_report_link,Significance (tiers),MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
13,PXRegressor,2026-07-01 23:16 UTC,https://docs.google.com/document/d/1JBwFtP187j-_67QwCyozLjZGcD1oApKIvBlg6jYQr4E/edit?usp=sharing,Tier 1,0.4230859199931071,0.0273581432702886,0.5868961558711789,0.0338384887085594,0.5894120770824045,0.0575030766669169,0.8154424911040576,0.0266409892891465,0.6288152552663843,0.0243634005245423,No
14,asinansaglam,2026-06-25 21:51 UTC,https://github.com/ASinanSaglam/OpenADMET_PXR_challenge/blob/main/WRITEUP.md,Tier 1,0.424713913286063,0.0285900716550171,0.5887523266137654,0.0283145263918334,0.5667157461707021,0.0606007544295255,0.8125526186086104,0.0282647079266231,0.6234311143987517,0.0239848576744533,No
15,sia,2026-06-30 17:29 UTC,https://docs.google.com/document/d/1W21gxkSEl4Eubn6n1nAHukbfR-aF2qwP54gbCwj-wpM/edit?usp=sharing,Tier 1,0.425493792514891,0.0277572719774205,0.5902185421914168,0.0340490623811851,0.5826434851566243,0.0625875726923935,0.816727085207553,0.0264325777755278,0.6256354712546981,0.0241715270978402,No
16,volt,2026-06-26 16:57 UTC,https://docs.google.com/document/d/1KT-Jb34A0pj_ofXrZ9tottXsUtnFPZ5Pz5mvesaMi2Y/edit?usp=sharing,Tier 1,0.4271318003846154,0.0286294147660037,0.5921372475133857,0.0289970825499188,0.5650199792791238,0.0576805458095522,0.8209213448279338,0.0270246300336983,0.6320694353658483,0.023753315443125,No
17,nova,2026-07-01 21:32 UTC,https://github.com/cedenoruel/PXR_OpenADMET_challenge/blob/main/README.md,Tier 1,0.4275177659759849,0.0287781067272762,0.5928508434407043,0.0326483586226169,0.5608155071037955,0.0609099130781089,0.8035111786966874,0.0285512050249438,0.6187822551846388,0.0249011470319494,No
18,cc,2026-07-01 06:54 UTC,https://docs.google.com/document/d/1qTaWoZM7NUj7szi-Em0qdapeoHGZesJN6e___ZWhkrQ/edit?usp=sharing,Tier 1,0.4282669282940384,0.0284957001382296,0.5938710210727378,0.0317328615165863,0.5726057810293497,0.0564550243211603,0.8078615370304966,0.0272776296234643,0.617612291511281,0.0244780961780708,No
19,firstpass,2026-06-28 11:58 UTC,https://huggingface.co/lachrymator/openadmet-pxr-challenge,Tier 1,0.4287405895590998,0.0293467204539317,0.5941470320234638,0.0255514225591695,0.5502170624267485,0.0536341790100014,0.8179315495450915,0.0259575295934228,0.628845507676706,0.02364388470582,No
20,jharrison3502,2026-07-01 23:36 UTC,https://gist.github.com/shug3502/7af114695fbf305efb9d239b61e1be69,Tier 1,0.4291181854476057,0.0294814427048083,0.594673664773652,0.026004360621668,0.5515881464652257,0.0601768070858979,0.8197252475204505,0.026511613418779,0.6350862854175027,0.0243271964616903,No
21,dargason,2026-06-30 23:00 UTC,https://aetherark.com/projects/pxr-modeling/phase2-activity-final-report/,Tier 1,0.4317018942829974,0.0303043614081484,0.5985500473117614,0.033288663291277,0.5362542057849977,0.0637596467815983,0.761740894493324,0.0343604187965572,0.5789587203812687,0.0282601119904285,No
22,PACE,2026-06-29 12:46 UTC,https://rentry.co/embww5yx,Tier 1,0.4322314661538461,0.0294883433427064,0.599313254845578,0.0323994350223573,0.5412000583046304,0.0613769412672593,0.808095786122556,0.0319437094072528,0.6332106673505004,0.027564350666416,No
23,quockhanh212,2026-07-02 03:08 UTC,https://docs.google.com/document/d/1OS6_AWzCoyRVmYpBYXY7ptan3rW9XFRn0lu619SPP00/edit?tab=t.0,Tier 1,0.4356725796894212,0.0286655989237977,0.6038787343854142,0.0264046084877669,0.5582080783382436,0.0549980380375381,0.8098957503419862,0.0256512615856605,0.6149478362280216,0.0227915425265177,No
24,huypn16,2026-06-30 11:17 UTC,https://docs.google.com/document/d/14pI7PcKI4mlnt6TxXYBZBj-YeHlzKE9etqb7VR0oUag/edit?usp=sharing,Tier 1,0.4360133605155714,0.0287353742027968,0.6043476764865667,0.0264389460889906,0.5576110434427294,0.0549561569418888,0.8106924864431817,0.0257015846670557,0.615582965602609,0.0227748878424772,No
25,jaybirdy,2026-06-28 10:44 UTC,https://github.com/jjaybird606-blip/pxr,Tier 1,0.4364853639092461,0.0274264692234783,0.6054173160634393,0.0324707157488914,0.5775688169288531,0.0548096082663036,0.796825265263534,0.0284269811956788,0.6109475603411131,0.0259317721662329,No
