split,fold,model,family,leakage_free_retrain,n_val,mae,r2,spearman,bias,pred_std
public_adv_top513,0,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.397267166577087,0.642445014718916,0.828103796400884,-0.1193974437288272,0.7104945549645735
public_adv_top513,0,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.4002410581037855,0.6442510423985547,0.8331418262874745,-0.0894978544158016,0.6934085232099538
public_testnn_top513,0,rdkit41_lgbm,2d,True,513,0.5427159403058103,0.5621706102239679,0.6602662170096497,-0.1298656299878747,0.7046816390154891
public_testnn_top513,0,rdkit_full_lgbm,2d,True,513,0.5334025145560799,0.5777489376075379,0.6730191175093541,-0.106660513949084,0.7078409527998958
public_testnn_top513,0,mordred_lgbm,2d,True,513,0.5240472900812884,0.5880180909998098,0.686718310194486,-0.1144945954484325,0.7278454735833598
public_testnn_top513,0,morgan2048_lgbm,fingerprint,True,513,0.5953906107022674,0.4690200453745177,0.5758810158105003,-0.0871660132702049,0.6217669726553948
public_testnn_top513,0,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.364199660507873,0.7843504534598147,0.8661892985828763,-0.051786920896596,0.8640250031971355
public_testnn_top513,0,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.3596629645927057,0.7886004539839582,0.8660117465783307,-0.0616173761057675,0.865361537718465
public_testnn_top513,0,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.3958736452430408,0.7461521593972251,0.8516961217772923,-0.0640036178094842,0.8144095714086116
public_testnn_top513,0,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.3999037288721721,0.7391308407938986,0.8503043273907223,-0.0725228299136639,0.8213337144612853
public_log2fc_top513,0,rdkit41_lgbm,2d,True,513,0.5083322302092929,-1.1002784768886975,0.3027786321822067,-0.3920721681445172,0.4107288699176756
public_log2fc_top513,0,rdkit_full_lgbm,2d,True,513,0.4508825961425528,-0.7033222947403281,0.3885243353130954,-0.3375004639910859,0.365778550265213
public_log2fc_top513,0,mordred_lgbm,2d,True,513,0.437311888069738,-0.5694382829431954,0.3799910660503344,-0.3120168358097418,0.3511613921206408
public_log2fc_top513,0,morgan2048_lgbm,fingerprint,True,513,0.4947476545179252,-0.8798359530675446,0.3236758052624282,-0.3981514637603476,0.3733935543767152
public_log2fc_top513,0,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.2748862618001922,0.3696025494294426,0.6377960975504543,-0.0077468720348495,0.276453166717398
public_log2fc_top513,0,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.2785418086284689,0.3520323397594728,0.6316361945114237,0.0109973783057551,0.2612630349880683
public_log2fc_top513,0,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.3564911240690402,-0.1771519937432282,0.5087559110921682,-0.0889337308889922,0.4186045038857994
public_log2fc_top513,0,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,513,0.356887921946395,-0.1572681294778242,0.510294175743057,-0.0634504031935795,0.4096736749023149
public_hybrid_nolabel_top513,0,rdkit41_lgbm,2d,True,513,0.5017124163064696,0.1011186965414202,0.4417624054741129,-0.2809197404276387,0.3921087290030144
public_hybrid_nolabel_top513,0,rdkit_full_lgbm,2d,True,513,0.4998184471136489,0.0915168105429596,0.4402976356516856,-0.2785635831711167,0.4005179060523688
public_hybrid_nolabel_top513,0,mordred_lgbm,2d,True,513,0.4695423014259561,0.1853083587156838,0.4805601133819005,-0.2315495657394125,0.3908583780688521
public_hybrid_nolabel_top513,0,morgan2048_lgbm,fingerprint,True,513,0.5456229679581326,-0.0844363909777481,0.3237345459930977,-0.3135199345525715,0.3883856834222468
public_hybrid_nolabel_top513,0,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.3300045405373494,0.5463351400843386,0.7584183092305867,-0.0808697240129985,0.4692821036779156
