variable,bin,model,n,value_min,value_max,mae,mean_residual,mean_pred,ensemble_mae,delta_mae_vs_ensemble
fractioncsp3,Q3,ensemble,798,0.3181818127632141,0.4000000059604645,0.38051009713691164,-0.04952660545739001,4.495015327261902,0.38051009713691164,0.0
fractioncsp3,Q3,tabpfn_2d_seed10_default,798,0.3181818127632141,0.4000000059604645,0.3952851173333955,-0.05256682410276026,4.498055545907271,0.38051009713691164,0.014775020196483857
fractioncsp3,Q3,tabpfn_2d_seed10_top500,798,0.3181818127632141,0.4000000059604645,0.38307721454696847,-0.04238838569861009,4.487877107503121,0.38051009713691164,0.0025671174100568295
fractioncsp3,Q4,ensemble,847,0.40909090638160706,0.529411792755127,0.3827054528363862,0.01579963653260708,4.47608348035051,0.3827054528363862,0.0
fractioncsp3,Q4,tabpfn_2d_seed10_default,847,0.40909090638160706,0.529411792755127,0.3905750401552059,0.009265977066832708,4.482617139816284,0.3827054528363862,0.007869587318819704
fractioncsp3,Q4,tabpfn_2d_seed10_top500,847,0.40909090638160706,0.529411792755127,0.38439290304532997,0.02090496831126028,4.470978148571857,0.3827054528363862,0.001687450208943786
fractioncsp3,Q5,ensemble,794,0.5333333611488342,1.0,0.37712728837732784,-0.0074484653024351494,4.249035367065659,0.37712728837732784,0.0
fractioncsp3,Q5,tabpfn_2d_seed10_default,794,0.5333333611488342,1.0,0.3825200415498364,-0.009743413853104833,4.251330315616329,0.37712728837732784,0.005392753172508535
fractioncsp3,Q5,tabpfn_2d_seed10_top500,794,0.5333333611488342,1.0,0.3719645566243669,0.005311518316004677,4.23627538344722,0.37712728837732784,-0.005162731752960947
log2fc_3_30e_5,Q1,ensemble,465,-0.8192832724402411,1.0905758579850957,0.43997609522019376,0.07050960526474852,4.324522652799767,0.43997609522019376,0.0
log2fc_3_30e_5,Q1,tabpfn_2d_seed10_default,465,-0.8192832724402411,1.0905758579850957,0.4484804858751194,0.07875602002297681,4.31627623804154,0.43997609522019376,0.008504390654925642
log2fc_3_30e_5,Q1,tabpfn_2d_seed10_top500,465,-0.8192832724402411,1.0905758579850957,0.4287105053522254,0.06164202677819039,4.333390231286326,0.43997609522019376,-0.011265589867968384
log2fc_3_30e_5,Q2,ensemble,464,1.0907645320850403,1.2393947333518087,0.2936088350175275,0.09989873881843105,4.765144364629845,0.2936088350175275,0.0
log2fc_3_30e_5,Q2,tabpfn_2d_seed10_default,464,1.0907645320850403,1.2393947333518087,0.30155052972250973,0.10126078669367168,4.763782316754604,0.2936088350175275,0.007941694704982238
log2fc_3_30e_5,Q2,tabpfn_2d_seed10_top500,464,1.0907645320850403,1.2393947333518087,0.30092942192636685,0.10162782849936652,4.763415274948909,0.2936088350175275,0.007320586908839355
log2fc_3_30e_5,Q3,ensemble,464,1.2394669721209888,1.3899758205133028,0.29661132251818245,0.0886162423215008,4.884638068023327,0.29661132251818245,0.0
log2fc_3_30e_5,Q3,tabpfn_2d_seed10_default,464,1.2394669721209888,1.3899758205133028,0.30592984382448524,0.09203467921964054,4.881219631125187,0.29661132251818245,0.009318521306302785
log2fc_3_30e_5,Q3,tabpfn_2d_seed10_top500,464,1.2394669721209888,1.3899758205133028,0.285179395223486,0.07307242183849728,4.900181888506331,0.29661132251818245,-0.011431927294696442
