slice,model,n_true,n_false,mae_true,mae_false,delta_mae_true_minus_false,mean_residual_true,mean_residual_false,ensemble_mae_true,ensemble_mae_false,ensemble_mean_residual_true,delta_true_mae_vs_ensemble,delta_false_mae_vs_ensemble
high_tpsa_top10,ensemble,415,3725,0.4712654839427112,0.3859561250385017,0.08530935890420954,-0.016865024330100224,-0.01169503553368954,0.4712654839427112,0.3859561250385017,-0.016865024330100224,0.0,0.0
high_tpsa_top10,tabpfn_2d_seed10_default,415,3725,0.4931076400710876,0.39583855689554565,0.09726908317554195,-0.012410073498645481,-0.014697612896476068,0.4712654839427112,0.3859561250385017,-0.016865024330100224,0.021842156128376367,0.00988243185704396
high_tpsa_top10,tabpfn_2d_seed10_top500,415,3725,0.46866832255168134,0.38874617057557226,0.07992215197610908,0.006157930397125591,-0.005778752505793719,0.4712654839427112,0.3859561250385017,-0.016865024330100224,-0.0025971613910298896,0.0027900455370705735
near_potent46_t03,ensemble,223,3917,0.49329470266405867,0.38888359022480445,0.10441111243925422,0.24314772458312958,-0.026751323727858815,0.49329470266405867,0.38888359022480445,0.24314772458312958,0.0,0.0
near_potent46_t03,tabpfn_2d_seed10_default,223,3917,0.5074313261690696,0.39979093932338683,0.10764038684568278,0.25212695917206496,-0.02964592811761085,0.49329470266405867,0.38888359022480445,0.24314772458312958,0.014136623505010937,0.010907349098582375
near_potent46_t03,tabpfn_2d_seed10_top500,223,3917,0.45728705632846983,0.3933116736511886,0.06397538267728126,0.19349404116917088,-0.015858943872861776,0.49329470266405867,0.38888359022480445,0.24314772458312958,-0.03600764633558884,0.004428083426384122
near_potent46_t04,ensemble,73,4067,0.7639489643528419,0.3878764364905057,0.3760725278623362,0.7113577832388015,-0.025200912376793123,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.0,0.0
near_potent46_t04,tabpfn_2d_seed10_default,73,4067,0.7767923437405939,0.3989261012963721,0.3778662424442218,0.7259800880902435,-0.027758872626481194,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.01284337938775204,0.011049664805866444
near_potent46_t04,tabpfn_2d_seed10_top500,73,4067,0.6492491881488122,0.3922256327804503,0.25702355536836186,0.5829509829168451,-0.0151280387809698,0.7639489643528419,0.3878764364905057,0.7113577832388015,-0.11469977620402971,0.0043491962899446235
no_aux,ensemble,1294,2846,0.45924323769989345,0.36507413633906616,0.09416910136082729,-0.09573652434743576,0.025762498259169625,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.0,0.0
no_aux,tabpfn_2d_seed10_default,1294,2846,0.47328723346358365,0.3748083678719366,0.09847886559164704,-0.10080584275003487,0.024787059724959204,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.014043995763690198,0.009734231532870452
no_aux,tabpfn_2d_seed10_top500,1294,2846,0.4761004248258733,0.3606826737625701,0.11541775106330315,-0.06397323376501839,0.022421311497772073,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.016857187125979833,-0.00439146257649603
single_hi_low,ensemble,216,3924,0.610275331333853,0.3826305479196055,0.22764478341424754,-0.18513143671294063,-0.0026948527344520727,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.0,0.0
single_hi_low,tabpfn_2d_seed10_default,216,3924,0.6141261296802095,0.39410984991194786,0.22001627976826166,-0.18824970580913405,-0.004902357820218728,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.0038507983463564877,0.011479301992342372
single_hi_low,tabpfn_2d_seed10_top500,216,3924,0.6067374505378582,0.38519917174739476,0.22153827879046345,-0.0911665357042242,0.00018390921071303337,0.610275331333853,0.3826305479196055,-0.18513143671294063,-0.003537880795994819,0.0025686238277892737
single_lo_low,ensemble,108,4032,0.6266308261352835,0.3882900824360202,0.23834074369926334,-0.1214983763681045,-0.009286003921683987,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.0,0.0
single_lo_low,tabpfn_2d_seed10_default,108,4032,0.6253989926973977,0.3997011914320659,0.22569780126533184,-0.12545309976295188,-0.011495499446158835,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.0012318334378857987,0.011411108996045694
single_lo_low,tabpfn_2d_seed10_top500,108,4032,0.6189290980056479,0.3908066708006807,0.22812242720496717,-0.07448275733877109,-0.0027098646271545663,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.007701728129635654,0.0025165883646605103
