rank,global_feature_idx,feature,family,lgbm_gain,gain_share_pct
96,2004,rdkit__FpDensityMorgan2,rdkit_full,27.9678025925532,0.05237232531785207
97,855,mordred__GATS5Z,mordred,27.439446626900462,0.051382929371380365
98,1472,mordred__SMR_VSA3,mordred,27.00074235489592,0.05056141460361412
99,675,mordred__AATS3v,mordred,26.984638361813268,0.05053125837085862
100,1426,mordred__BCUTc-1h,mordred,26.803272262390237,0.0501916333921289
101,631,mordred__ZMIC2,mordred,26.574550813180394,0.04976333109324261
102,222,chemeleon_222,chemeleon,26.351252160355216,0.04934518348761298
103,922,mordred__MATS5i,mordred,26.210575728473486,0.04908175371580008
104,2079,boltz_tier1__pae_pocket_ligand_max,boltz_tier1_conf,26.0000781059789,0.0486875772363488
105,185,chemeleon_185,chemeleon,25.887527955812402,0.04847681655682862
106,1500,mordred__VR2_Dzse,mordred,25.85988998413086,0.04842506187073051
107,250,chemeleon_250,chemeleon,25.84716337066493,0.04840123009708914
108,1145,mordred__ATSC1dv,mordred,25.723298968354356,0.04816928242255722
109,2003,rdkit__FpDensityMorgan1,rdkit_full,25.32701701944461,0.04742720742123339
110,1720,mordred__ETA_shape_y,mordred,25.323655131389387,0.0474209119715166
111,106,chemeleon_106,chemeleon,25.118138924823143,0.047036063659148857
112,746,mordred__ATSC0i,mordred,25.094961387687363,0.046992661553784135
113,99,chemeleon_099,chemeleon,25.016027961988584,0.04684485133396195
114,246,chemeleon_246,chemeleon,24.99932248453115,0.04681356876547643
115,197,chemeleon_197,chemeleon,24.811322963651037,0.046461522084849646
116,61,chemeleon_061,chemeleon,24.803918275953038,0.046447656114803795
117,45,chemeleon_045,chemeleon,24.60049901534512,0.0460667345298055
118,776,mordred__ATSC4c,mordred,24.456141706497874,0.045796411971716126
119,1033,mordred__piPC10,mordred,24.168839282821864,0.0452584113208758
120,231,chemeleon_231,chemeleon,24.03152697425685,0.045001281184515816
121,888,mordred__MATS1c,mordred,23.955429373600055,0.04485878131223172
122,1464,mordred__MINssCH2,mordred,23.898107330460334,0.044751440426895356
123,1108,mordred__AATSC5v,mordred,23.849194874288514,0.04465984727944487
124,82,chemeleon_082,chemeleon,23.77105430472875,0.04451352175687429
125,1318,mordred__VR2_Dzp,mordred,23.33768940367736,0.043702005460444
126,1235,mordred__MAXsssN,mordred,23.16508626646828,0.04337878994778865
127,72,chemeleon_072,chemeleon,23.027057266124757,0.043120317739063406
128,59,chemeleon_059,chemeleon,22.796626227500383,0.0426888140741534
129,909,mordred__MATS3s,mordred,22.558293093548855,0.0422425129969048
130,65,chemeleon_065,chemeleon,22.28751289343927,0.04173545175450501
131,95,chemeleon_095,chemeleon,22.269568724761484,0.04170184962089291
132,793,mordred__ATSC6d,mordred,22.18278031173395,0.041539330202863683
133,282,chemeleon_282,chemeleon,22.08394545299234,0.04135425268890348
134,270,chemeleon_270,chemeleon,21.967397364089265,0.04113600549529554
135,477,mordred__ATS4i,mordred,21.91974473046139,0.041046771483350813
136,122,chemeleon_122,chemeleon,21.851624546397943,0.04091921006951873
137,810,mordred__ATSC8i,mordred,21.834566851553973,0.04088726794104493
138,160,chemeleon_160,chemeleon,21.754717628180515,0.04073774280445068
139,696,mordred__AATS6v,mordred,21.70832955057267,0.04065087679188827
