feature_set,model_type,alpha,shrink,mae,spearman,mean_pred,mean_residual,delta_mae_vs_raw,delta_spearman_vs_raw,mean_abs_shift_oof,p90_abs_shift_oof
potent_two_knot,ridge,0.1,0.75,0.3924069035715283,0.8489201373698099,4.3245802620459175,-0.0037666016070604202,-0.004682123327094334,0.003830409060725848,0.030695257371376447,0.029111812006198723
potent_two_knot,ridge,0.01,0.75,0.39240724903465535,0.8489185913998956,4.3245803678541765,-0.003766707415319418,-0.004681777863967285,0.0038288630908115406,0.03069691072196668,0.029110766808288106
potent_two_knot,ridge,0.001,0.75,0.3924072836955092,0.8489185913998956,4.324580378473189,-0.0037667180343314427,-0.004681743203113431,0.0038288630908115406,0.03069707650813989,0.029110661830283206
potent_two_knot,ridge,1.0,0.5,0.39241230158042034,0.8482111685720514,4.327795554613676,-0.006981894174818683,-0.0046767253182022905,0.0031214402629673454,0.02045278060007252,0.019414548560232864
potent_two_knot,ridge,0.1,0.5,0.39241430513789705,0.8482097905338905,4.327796235452132,-0.00698257501327493,-0.004674721760725586,0.0031200622248064303,0.020463504914250964,0.019407874670799147
potent_two_knot,ridge,0.01,0.5,0.3924145140118173,0.8482090602928917,4.3277963059909705,-0.0069826455521141625,-0.004674512886805315,0.0031193319838076494,0.020464607147977782,0.01940717787219207
potent_two_knot,ridge,0.001,0.5,0.39241453498744366,0.8482089093572522,4.327796313070313,-0.006982652631455713,-0.0046744919111789685,0.003119181048168218,0.02046471767209326,0.01940710788685547
lowd_core,huber,10.0,0.25,0.3925369404180704,0.8492319200891632,4.336068843347573,-0.015255182908716091,-0.00455208648055222,0.00414219178007913,0.01926396293791902,0.041881503901023104
lowd_core,huber,1.0,0.25,0.3925369653910537,0.8492299610544874,4.336069238556092,-0.01525557811723542,-0.0045520615075689275,0.004140232745403427,0.01929557445141631,0.041999276736327154
lowd_core,huber,0.1,0.25,0.39253703772536575,0.8492304729672949,4.336069295126843,-0.015255634687986215,-0.004551989173256887,0.004140744658210904,0.01929880060636184,0.042011002732136635
lowd_core,huber,0.01,0.25,0.3925370456583926,0.8492304729672949,4.336069300174544,-0.015255639735687122,-0.004551981240230041,0.004140744658210904,0.019299123975078214,0.042012175540016586
lowd_core,huber,0.001,0.25,0.39253704645817683,0.8492305040845585,4.336069300673899,-0.015255640235042585,-0.004551980440445802,0.004140775775474448,0.01929915632151075,0.04201229282219207
