global_feature_idx,feature,family,mean_abs_shap,mean_shap,max_abs_shap,lgbm_gain
692,mordred_392,mordred,0.12981246160493584,-0.10332835923051216,0.8684349375428839,14.503183109220117
1292,mordred_992,mordred,0.12972037893376168,-0.1160237047912767,0.5197454996349385,63.830647163442336
1654,mordred_1354,mordred,0.12945220418914818,0.003986110670752924,0.46088016471877724,19.760225989375613
329,mordred_29,mordred,0.1293732945833497,0.12307513082491962,0.5348521753700408,10.465805354062468
207,chemeleon_207,chemeleon,0.12904654777809477,-0.055716457163615195,1.0869346961828459,12.09871218461194
1127,mordred_827,mordred,0.12897072913050364,0.021860655585344044,0.5548871699256116,10.455248564278008
789,mordred_489,mordred,0.1281736541415681,0.032083897108817365,0.5860557065356098,22.686419644916896
853,mordred_553,mordred,0.12804252564826324,-0.10324409839135838,0.8404702592147739,17.271946861874312
324,mordred_24,mordred,0.12776879597746935,-0.11195189197152512,0.5285698208101081,38.32482917729067
274,chemeleon_274,chemeleon,0.1268921113649859,0.08899228334104957,0.6629546716025827,43.029984254884766
1529,mordred_1229,mordred,0.12658982134083996,-0.120636348313216,0.622720342287406,9.987804841832258
166,chemeleon_166,chemeleon,0.12650503584768344,0.10650953900784105,0.5386626410655465,10.32950872037327
259,chemeleon_259,chemeleon,0.12624280758486253,0.039037393019978585,0.5191857839721672,10.285895808134228
897,mordred_597,mordred,0.12604651447571402,0.10317350604891062,0.6966102427607871,12.082828845246695
1079,mordred_779,mordred,0.12590685614872865,-0.07836212082298201,0.4896796025051689,12.610284907743335
856,mordred_556,mordred,0.1254275377925538,0.09659346587844954,0.7183318357755758,9.137217267678352
2045,boltz_tier0_7,boltz_tier0,0.12513425716216628,0.02711447912603622,0.5605070443862018,9.173635469167493
1011,mordred_711,mordred,0.12508644701232438,0.03844926999291227,0.7470902545997158,58.603135138808284
97,chemeleon_97,chemeleon,0.1250682602220311,0.01635719270232078,0.530489079243436,26.40403360273922
1719,mordred_1419,mordred,0.12488759867041266,-0.11568576488998981,0.8507439011407868,11.781606506323442
269,chemeleon_269,chemeleon,0.12458506850181965,-0.04617110091402233,0.6289023839287162,14.659731966239633
63,chemeleon_63,chemeleon,0.12448722728875146,-0.026288564232793774,0.48211226675634766,15.205207664170302
469,mordred_169,mordred,0.12432298272460172,-0.006363648331073839,0.5997986195540218,11.772421777481213
192,chemeleon_192,chemeleon,0.12400373581110559,-0.0408793093637039,0.5960035226535956,14.193594142430811
1332,mordred_1032,mordred,0.123675923433915,0.11129967928548538,0.6328523905688265,15.423382893728558
1671,mordred_1371,mordred,0.12350757213129195,0.0821380451275539,1.177014981302893,29.620101051870733
202,chemeleon_202,chemeleon,0.12330323972327417,0.0716723299350773,0.7654022672471924,19.605188113666372
1199,mordred_899,mordred,0.12298935687103309,-0.06002113862977574,0.36887269027553954,9.405606144864578
666,mordred_366,mordred,0.12204639440965637,0.04486760830863489,0.6287946201734331,25.82608207227895
1013,mordred_713,mordred,0.12185852903687017,0.028240943562389945,0.4675164912203016,19.535466744564474
285,chemeleon_285,chemeleon,0.12184056225596684,0.025048659662936363,0.8527455525274135,16.971211399912136
2081,boltz_tier1_24,boltz_tier1,0.1210971720595193,0.05838955151937808,0.9189274580494253,18.058174562553177
391,mordred_91,mordred,0.12105833069191067,-0.0028645861434213236,0.40831037454445435,10.012438995123375
164,chemeleon_164,chemeleon,0.12103896079648879,0.09380837719473234,0.5630480754501259,10.590809390094364
1783,mordred_1483,mordred,0.12051410847228422,-0.09018384662492761,0.6823168849556761,12.559030540112872
675,mordred_375,mordred,0.1205042564125093,0.0394011405792028,0.5179317532067962,24.667772489832714
1818,pose_jazzy_3,pose_jazzy,0.1199079627298512,-0.08524842300408507,0.5583037225470708,14.051994692272274
1207,mordred_907,mordred,0.11970778743583317,-0.051036675481531873,0.4502290602927118,13.040296855499037
631,mordred_331,mordred,0.11956632611504259,0.037076727902193955,0.5839041460085085,24.188224722951418
193,chemeleon_193,chemeleon,0.11938053624588779,-0.11022486486876892,0.7765529733119698,20.561544955708086
1650,mordred_1350,mordred,0.11886705783084496,-0.026558442251571158,0.47951896483928147,9.162216513301246
210,chemeleon_210,chemeleon,0.11869781103824517,-0.03283009295123257,0.7930763198931832,16.577439823828172
877,mordred_577,mordred,0.1185278361003147,0.0926544012486733,0.6635132288181381,22.996942120109452
2,chemeleon_2,chemeleon,0.11840210166657576,-0.06542068980465215,0.575115261076383,124.27214011354954
529,mordred_229,mordred,0.11825756981268981,-0.07045500670617048,0.3918915297762745,13.047465157927945
2005,rdkit_184,rdkit,0.11820849923920608,-0.014505282401631125,0.5762355468153939,32.67035513573501
606,mordred_306,mordred,0.11808972687685991,0.04418943048037685,0.4424129346593379,18.994624571467284
698,mordred_398,mordred,0.11795770583692418,-0.04437466030327261,0.5034923980153981,11.259202276618453
143,chemeleon_143,chemeleon,0.117863775735103,-0.007204769363498739,0.5257452471986902,45.22535807819804
534,mordred_234,mordred,0.1178422279272447,-0.06696431364985972,0.7605221583565048,16.07109119737288
804,mordred_504,mordred,0.11765630483996271,-0.05759818024805607,0.5329926319720114,12.225825924630044
289,chemeleon_289,chemeleon,0.11742645700052042,0.012456117574263827,0.4834244266491701,23.05731912428746
1730,mordred_1430,mordred,0.11696379287867263,0.008254986837874899,0.5416834458762005,59.83213946101023
233,chemeleon_233,chemeleon,0.11685512774926547,0.08240555762680808,0.6099292848093011,18.521766497404315
1429,mordred_1129,mordred,0.1166249714253789,-0.03418955599292315,0.59307456906874,30.501403592323186
814,mordred_514,mordred,0.11603025008865835,-0.09300495803847177,0.8952919417441543,26.685254241339862
1824,rdkit_3,rdkit,0.11570040831812838,-0.03662670084934742,0.6201844837710082,60.19149965321412
6,chemeleon_6,chemeleon,0.11544967465072643,0.10787767477491904,0.9053951870546899,137.17623540188652
682,mordred_382,mordred,0.11526865509804378,-0.0797820798351201,1.121576489502709,43.22091705730418
