global_feature_idx,feature,family,lgbm_gain
63,chemeleon_63,chemeleon,15.205207664170302
2039,boltz_tier0_1,boltz_tier0,15.196043729258236
1674,mordred_1374,mordred,15.157849308976438
183,chemeleon_183,chemeleon,14.946166718931636
224,chemeleon_224,chemeleon,14.934527607489144
271,chemeleon_271,chemeleon,14.92104063485749
1588,mordred_1288,mordred,14.87188566417899
53,chemeleon_53,chemeleon,14.788519876499777
107,chemeleon_107,chemeleon,14.779967568727443
102,chemeleon_102,chemeleon,14.730387131334282
642,mordred_342,mordred,14.71431062114425
211,chemeleon_211,chemeleon,14.667288114491384
269,chemeleon_269,chemeleon,14.659731966239633
2097,boltz_tier1_40,boltz_tier1,14.652839792193845
1574,mordred_1274,mordred,14.643941825022921
2069,boltz_tier1_12,boltz_tier1,14.574061277409783
949,mordred_649,mordred,14.529032324935542
692,mordred_392,mordred,14.503183109220117
1769,mordred_1469,mordred,14.489611845870968
1720,mordred_1420,mordred,14.476101268577622
243,chemeleon_243,chemeleon,14.378704133385327
192,chemeleon_192,chemeleon,14.193594142430811
248,chemeleon_248,chemeleon,14.187062124954537
368,mordred_68,mordred,14.139485838975816
84,chemeleon_84,chemeleon,14.13876537285978
108,chemeleon_108,chemeleon,14.122456549841445
816,mordred_516,mordred,14.10670796863269
249,chemeleon_249,chemeleon,14.07682137019583
1818,pose_jazzy_3,pose_jazzy,14.051994692272274
532,mordred_232,mordred,14.005453306133859
857,mordred_557,mordred,13.991836624278221
180,chemeleon_180,chemeleon,13.987538188841427
1014,mordred_714,mordred,13.977213609265164
225,chemeleon_225,chemeleon,13.959207717707613
862,mordred_562,mordred,13.936571310216095
80,chemeleon_80,chemeleon,13.914952225226443
153,chemeleon_153,chemeleon,13.911005365371238
1145,mordred_845,mordred,13.884323372272775
373,mordred_73,mordred,13.875721071381122
291,chemeleon_291,chemeleon,13.865075000183424
228,chemeleon_228,chemeleon,13.853237000206718
123,chemeleon_123,chemeleon,13.821723162312992
326,mordred_26,mordred,13.812081701355055
796,mordred_496,mordred,13.797965292469598
1816,pose_jazzy_1,pose_jazzy,13.748621230450226
87,chemeleon_87,chemeleon,13.720343132968992
1590,mordred_1290,mordred,13.632619714713655
649,mordred_349,mordred,13.603256429894827
2094,boltz_tier1_37,boltz_tier1,13.523538517009001
876,mordred_576,mordred,13.50824982195627
630,mordred_330,mordred,13.438943485962227
807,mordred_507,mordred,13.39700342976721
2065,boltz_tier1_8,boltz_tier1,13.394749019789742
1,chemeleon_1,chemeleon,13.292576088395435
865,mordred_565,mordred,13.291178822386428
277,chemeleon_277,chemeleon,13.226118898397544
1791,mordred_1491,mordred,13.224238282564329
28,chemeleon_28,chemeleon,13.223547695786692
1983,rdkit_162,rdkit,13.21583881485276
834,mordred_534,mordred,13.21401377976872
781,mordred_481,mordred,13.168685963813914
158,chemeleon_158,chemeleon,13.157613659073832
812,mordred_512,mordred,13.128714142832905
874,mordred_574,mordred,13.117818494443782
554,mordred_254,mordred,13.115368712693453
480,mordred_180,mordred,13.095528280362487
216,chemeleon_216,chemeleon,13.082069581578253
1589,mordred_1289,mordred,13.052845002879621
529,mordred_229,mordred,13.047465157927945
1207,mordred_907,mordred,13.040296855499037
1454,mordred_1154,mordred,13.02092994574923
508,mordred_208,mordred,12.9316927161708
20,chemeleon_20,chemeleon,12.923311948310584
1006,mordred_706,mordred,12.92098984203767
187,chemeleon_187,chemeleon,12.8941064143728
2058,boltz_tier1_1,boltz_tier1,12.888131121871993
591,mordred_291,mordred,12.856893556454452
115,chemeleon_115,chemeleon,12.8347884772229
808,mordred_508,mordred,12.81847426778404
869,mordred_569,mordred,12.816566561959917
1672,mordred_1372,mordred,12.81500847573625
8,chemeleon_8,chemeleon,12.800555250039906
1667,mordred_1367,mordred,12.782147745485418
190,chemeleon_190,chemeleon,12.684148508618819
831,mordred_531,mordred,12.659691212465987
699,mordred_399,mordred,12.618190056527965
1079,mordred_779,mordred,12.610284907743335
57,chemeleon_57,chemeleon,12.575805977743585
1783,mordred_1483,mordred,12.559030540112872
31,chemeleon_31,chemeleon,12.522078856854932
833,mordred_533,mordred,12.474615312792594
10,chemeleon_10,chemeleon,12.444531892004306
198,chemeleon_198,chemeleon,12.40807682176819
159,chemeleon_159,chemeleon,12.395911807660013
218,chemeleon_218,chemeleon,12.387795919261407
418,mordred_118,mordred,12.366793531924486
628,mordred_328,mordred,12.338266544335056
604,mordred_304,mordred,12.313305212795967
171,chemeleon_171,chemeleon,12.308083799289307
148,chemeleon_148,chemeleon,12.295083277946105
804,mordred_504,mordred,12.225825924630044
387,mordred_87,mordred,12.204673886299133
272,chemeleon_272,chemeleon,12.194835463626077
113,chemeleon_113,chemeleon,12.193437869718764
689,mordred_389,mordred,12.152048551128246
2080,boltz_tier1_23,boltz_tier1,12.147807317756815
2093,boltz_tier1_36,boltz_tier1,12.104064089071471
207,chemeleon_207,chemeleon,12.09871218461194
897,mordred_597,mordred,12.082828845246695
256,chemeleon_256,chemeleon,12.058471095922869
1061,mordred_761,mordred,11.994571304530837
134,chemeleon_134,chemeleon,11.988319666997995
722,mordred_422,mordred,11.955464755184948
2076,boltz_tier1_19,boltz_tier1,11.90983908213093
851,mordred_551,mordred,11.87881851743441
145,chemeleon_145,chemeleon,11.857370515092043
1142,mordred_842,mordred,11.84518589367508
868,mordred_568,mordred,11.791926894278731
1719,mordred_1419,mordred,11.781606506323442
469,mordred_169,mordred,11.772421777481213
2072,boltz_tier1_15,boltz_tier1,11.769767914986005
854,mordred_554,mordred,11.62124128616415
221,chemeleon_221,chemeleon,11.61450603773119
299,chemeleon_299,chemeleon,11.534478288318496
715,mordred_415,mordred,11.533704969944665
98,chemeleon_98,chemeleon,11.478514130663825
1154,mordred_854,mordred,11.43924806281575
58,chemeleon_58,chemeleon,11.436086015601177
470,mordred_170,mordred,11.432204347744118
706,mordred_406,mordred,11.424895423930138
794,mordred_494,mordred,11.341200783877866
282,chemeleon_282,chemeleon,11.271948977722786
698,mordred_398,mordred,11.259202276618453
1474,mordred_1174,mordred,11.209419178892858
888,mordred_588,mordred,11.208166645519668
1083,mordred_783,mordred,11.194443768064957
737,mordred_437,mordred,11.170843671599869
2063,boltz_tier1_6,boltz_tier1,11.136673568806145
2087,boltz_tier1_30,boltz_tier1,11.136418299080105
931,mordred_631,mordred,11.116528468905017
152,chemeleon_152,chemeleon,11.11485126594198
1831,rdkit_10,rdkit,11.061800003051758
239,chemeleon_239,chemeleon,11.058315999005572
49,chemeleon_49,chemeleon,11.055091797141358
352,mordred_52,mordred,11.039090141246561
924,mordred_624,mordred,10.979558001738042
9,chemeleon_9,chemeleon,10.974610618810402
1591,mordred_1291,mordred,10.8854941844329
1267,mordred_967,mordred,10.882335486006923
1445,mordred_1145,mordred,10.855045390606392
438,mordred_138,mordred,10.85378167242743
242,chemeleon_242,chemeleon,10.850726480828598
641,mordred_341,mordred,10.834066615148913
1071,mordred_771,mordred,10.811727741267532
104,chemeleon_104,chemeleon,10.810916459886357
2043,boltz_tier0_5,boltz_tier0,10.804386473144405
12,chemeleon_12,chemeleon,10.801204360177508
777,mordred_477,mordred,10.7906720485189
1183,mordred_883,mordred,10.737428380074562
456,mordred_156,mordred,10.736184241715819
1126,mordred_826,mordred,10.669594855047762
1164,mordred_864,mordred,10.653743759728968
580,mordred_280,mordred,10.601007481454872
164,chemeleon_164,chemeleon,10.590809390094364
1386,mordred_1086,mordred,10.502547942451201
1329,mordred_1029,mordred,10.491974369215313
329,mordred_29,mordred,10.465805354062468
1127,mordred_827,mordred,10.455248564278008
253,chemeleon_253,chemeleon,10.440655704122037
47,chemeleon_47,chemeleon,10.438685138506116
798,mordred_498,mordred,10.408783215796575
612,mordred_312,mordred,10.367120736133074
937,mordred_637,mordred,10.363194703415502
166,chemeleon_166,chemeleon,10.32950872037327
2083,boltz_tier1_26,boltz_tier1,10.29843881065608
259,chemeleon_259,chemeleon,10.285895808134228
140,chemeleon_140,chemeleon,10.269118802680168
1062,mordred_762,mordred,10.259028247615788
5,chemeleon_5,chemeleon,10.252648389199749
22,chemeleon_22,chemeleon,10.225350254855584
1230,mordred_930,mordred,10.213991298573092
151,chemeleon_151,chemeleon,10.176741712901276
258,chemeleon_258,chemeleon,10.144199353759177
260,chemeleon_260,chemeleon,10.126113824706408
904,mordred_604,mordred,10.086527708132053
363,mordred_63,mordred,10.058883400226478
250,chemeleon_250,chemeleon,10.04852722916985
998,mordred_698,mordred,10.035300151299452
1439,mordred_1139,mordred,10.017277000151807
391,mordred_91,mordred,10.012438995123375
815,mordred_515,mordred,10.00016022566706
1529,mordred_1229,mordred,9.987804841832258
382,mordred_82,mordred,9.963076244224794
880,mordred_580,mordred,9.947307940208702
