compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_1,11.487769338414946,0.07691513746976852,7.366321028712264e-07,0.0769158741018714,0.406300812959671,0.20478713512420654,0.6110879480838776,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_2,11.580666198972501,0.083493672311306,4.282189536297665e-07,0.08349410053025963,0.44190916419029236,0.1998421847820282,0.6417513489723206,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_3,11.439855266714968,0.08006632328033447,4.898075758319465e-07,0.0800668130879103,0.44108298420906067,0.1980511099100113,0.639134094119072,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_4,11.510831500228267,0.08932269364595413,1.5460860822713585e-06,0.0893242397320364,0.42749452590942383,0.1992606371641159,0.6267551630735397,,
x00462-1,15,5X0R,4WH,9.0,0.6,gnina_refined,11.58031863259452,0.0790548250079155,0.0,0.0790548250079155,0.43146103620529175,0.1993834674358368,0.6308445036411285,,
x00462-1,15,5X0R,4WH,9.0,0.6,template_transferred,0.049371152987477414,0.2852036654949188,0.14427095651626587,0.4294746220111847,0.4707537889480591,0.1385309398174286,0.6092847287654877,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_0,4.441321233448937,0.4287678301334381,0.01185092143714428,0.4406187515705824,0.5032731294631958,0.22450025379657745,0.7277733832597733,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_1,4.100126126304939,0.4297642707824707,0.027399880811572075,0.4571641515940428,0.5178272128105164,0.23661339282989502,0.7544406056404114,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_2,3.4841411900359947,0.34882020950317383,0.009127320721745491,0.3579475302249193,0.4289800226688385,0.19712720811367035,0.6261072307825089,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_3,3.48119147415732,0.31000813841819763,0.013630290515720844,0.3236384289339185,0.4647481441497803,0.19899693131446838,0.6637450754642487,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_4,4.157858152608483,0.4283076822757721,0.013924316503107548,0.44223199877887964,0.4928465187549591,0.22089459002017975,0.7137411087751389,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,gnina_refined,4.080348111956883,0.42440444231033325,0.023848973214626312,0.44825341552495956,0.44624724984169006,0.20492182672023773,0.6511690765619278,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,template_transferred,0.015372426355974035,0.5438870191574097,0.2012660652399063,0.745153084397316,0.5309341549873352,0.22867560386657715,0.7596097588539124,,
x00494-1,15,,,,,,,,,,,,,mcs_below_threshold,
x00509-1,17,,,,,,,,,,,,,mcs_below_threshold,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_0,6.140430862229303,0.3446463346481323,0.034376438707113266,0.3790227733552456,0.32894641160964966,0.2139253467321396,0.5428717583417892,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_1,6.229628116895236,0.327810674905777,0.02817096933722496,0.35598164424300194,0.4357590675354004,0.09999837726354599,0.5357574447989464,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_2,6.109357536384196,0.3644135892391205,0.03136591613292694,0.3957795053720474,0.43503716588020325,0.10004197061061859,0.5350791364908218,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_3,6.1659669120727045,0.35110411047935486,0.03965899720788002,0.3907631076872349,0.34022748470306396,0.2215450257062912,0.5617725104093552,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_4,6.23867159112411,0.33998969197273254,0.035908281803131104,0.37589797377586365,0.43300318717956543,0.10004164278507233,0.5330448299646378,,
x00512-1,16,2O9I,444,12.0,0.75,gnina_refined,5.984643672209483,0.3404236137866974,0.02466573938727379,0.3650893531739712,0.3520612120628357,0.22229492664337158,0.5743561387062073,,
x00512-1,16,2O9I,444,12.0,0.75,template_transferred,0.10641742394170715,0.40939244627952576,0.09979689866304398,0.5091893449425697,0.3794398903846741,0.1988973468542099,0.578337237238884,,
x00527-1,10,,,,,,,,,,,,,mcs_below_threshold,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_0,1.6292636080982188,0.14933106303215027,0.02201252430677414,0.1713435873389244,0.19598747789859772,0.11263741552829742,0.30862489342689514,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_1,4.893684003525071,0.16785837709903717,0.002784361597150564,0.17064273869618773,0.2028162032365799,0.15122337639331818,0.35403957962989807,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_2,7.941208375468383,0.09168463200330734,0.0005477750673890114,0.09223240707069635,0.18324312567710876,0.11055194586515427,0.29379507154226303,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_3,5.069740966119391,0.20442473888397217,0.014998591504991055,0.21942333038896322,0.1940658837556839,0.16119331121444702,0.3552591949701309,,
