variable,bin,n,value_min,value_max,mae,mean_residual,mean_pec50,mean_pred,mean_member_std
family_gap,Q3,828,-0.04520003000895123,0.04446808497111032,0.33104913625899546,-0.03725013838066034,4.297493961352656,4.334744099733317,0.1446999664937423
family_gap,Q4,828,0.04456003506978368,0.1570912202199306,0.33594120254391807,-0.007368574627601547,4.61844806763285,4.625816642260451,0.16657588515537658
family_gap,Q5,828,0.15732415517171194,1.220101237297058,0.397982367718262,0.10628534473991587,4.847782070310226,4.741496725570311,0.2667094400668197
abs_family_gap,Q1,828,9.147326151559554e-05,0.04474822680155466,0.3310020448187436,-0.035946187762906257,4.297735507246377,4.3336816950092825,0.14508852622534318
abs_family_gap,Q2,828,0.04476388295491507,0.0941539208094282,0.35374289087389615,-0.0034807940098542517,4.360821256038648,4.364302050048501,0.14845047744700307
abs_family_gap,Q3,828,0.0941771666208906,0.15855169296264648,0.35796315704851994,-0.015470092061659314,4.395084541062802,4.410554633124461,0.17406008961278188
abs_family_gap,Q4,828,0.15865111351013184,0.2575331926345825,0.3876439132362689,0.007638845986405845,4.4784946306967,4.470855784710294,0.2117319713395174
abs_family_gap,Q5,828,0.25759005546569824,1.636091629664103,0.5550931285156843,-0.0198143812805059,4.071932367149758,4.091746748430264,0.3476242833932365
nn_potent46_tanimoto,Q1,830,0.05454545454545454,0.18571428571428572,0.4479582878415787,-0.034322831342952026,3.6683054870082743,3.702628318351226,0.21926349098788026
nn_potent46_tanimoto,Q2,834,0.18584070796460178,0.20652173913043478,0.3846873666036643,-0.021575525042558226,4.297781774580336,4.319357299622894,0.21180693284831872
nn_potent46_tanimoto,Q3,845,0.20689655172413793,0.2261904761904762,0.40243864232243154,-0.05224413199347206,4.3735325443786985,4.425776676372171,0.20217535938414974
nn_potent46_tanimoto,Q4,821,0.22666666666666666,0.25,0.3553598600211325,-0.013454436206696802,4.602965895249695,4.616420331456392,0.19528682795689603
nn_potent46_tanimoto,Q5,810,0.25263157894736843,1.0,0.39444793933892186,0.056960742224581785,4.672166666666667,4.615205924442085,0.1981662768038885
counter_pec50,Q1,530,1.76,1.97,0.37560582151804295,0.08547653645634076,4.743849056603773,4.6583725201474335,0.20047810669688498
counter_pec50,Q2,533,1.98,2.62,0.46181399425363,-0.03179737353759594,4.54859287054409,4.580390244081686,0.22065751834271563
counter_pec50,Q3,537,2.63,3.18,0.3605009189347496,0.0350320356837176,4.757635009310987,4.72260297362727,0.19966023736250238
counter_pec50,Q4,523,3.19,4.15,0.3168508704459857,0.0034366538459612607,4.764130019120459,4.760693365274498,0.18669999161508663
counter_pec50,Q5,525,4.16,7.16,0.3369708322969014,0.052071576236234755,4.8779619047619045,4.825890328525669,0.19670731181526066
counter_pec50,missing,1492,,,0.4440475478226983,-0.08836316034340065,3.5805017119416003,3.668864872285001,0.21335267597280422
counter_emax,Q1,531,0.806,1.44,0.44694235295504664,-0.037915373796814325,4.562674199623352,4.600589573420167,0.22356333382017796
counter_emax,Q2,674,1.45,1.57,0.3610585496223759,0.027829425473952563,4.829725519287834,4.801896093813881,0.18998260526184724
counter_emax,Q3,435,1.58,1.58,0.3439538775672207,0.12259304471559247,5.043103448275862,4.920510403560269,0.17975234533368234
