name,oof_mae,oof_spearman,as1_mae,as1_bias,as1_spearman
attentivefp_optuna_umap,0.528,0.6984,0.5568509871592164,0.05301581326209506,0.744525839568396
ens_v7_vanilla,0.4826,0.7656,0.49455954375130806,0.05628582407191667,0.8047675868569746
ens_v7_l2_a0.1,0.4829,0.7667,0.4924662592979059,0.06601503837377667,0.8049372808760664
ens_v7_l2_a0.3,0.4897,0.7657,0.5050864818948719,0.047095660882633644,0.7973321729374637
lgbm_mordred_umap_default_pseudo0.3,0.5612,0.7336,0.608758585660263,-0.2054885345509293,0.7533676673957406
lgbm_mordred_umap_default,0.5291,0.7111,0.576305605728157,-0.07446693973840114,0.7135125372052837
lgbm_mordred_umap_default_pseudo0.05,0.5388,0.7199,0.5836754949860042,-0.12388622330544302,0.7319821414078728
lgbm_mordred_umap_default_pseudo0.1,0.5447,0.7256,0.5825465491275493,-0.14433144965566455,0.7393338212126384
lgbm_mordred_umap_default_pseudo0.5,0.5699,0.7332,0.6283494050329442,-0.23760183632104773,0.7463246232767611
lgbm_mordred_umap_default_pseudo1.0,0.5781,0.7289,0.6504605370320224,-0.2587047176879506,0.7292970479926354
lgbm_mordred_singleconc_umap_default,0.425,0.8293,0.815573875406632,-0.5118513229580592,0.6731831528998131
lgbm_mordred_umap_default_pseudo0.05_minc0.9,0.5317,0.7109,0.5667596658605221,-0.07250603328077315,0.7241917765467194
lgbm_mordred_umap_default_pseudo0.1_minc0.9,0.533,0.7149,0.5706685414084992,-0.09168627965661612,0.7328817421822891
lgbm_mordred_umap_default_pseudo0.3_minc0.9,0.5393,0.7149,0.5634390293048325,-0.10443509685930284,0.7552757991866158
chemprop_multitask_umap_aux0.3,0.618,0.6641,0.5719962600790514,0.38793951541501975,0.7299643883799022
chemprop_multitask_umap_aux0.0,0.6165,0.6606,0.5441329758893282,0.3009910272727272,0.7313967837462978
chemprop_multitask_umap_aux0.1,0.5957,0.6551,0.5431044288537549,0.32631566363636355,0.7365835666573618
chemprop_multitask_umap_aux0.5,0.5997,0.6567,0.5194901557312253,0.2565207849802371,0.7304112245961135
chemprop_multitask_umap_aux1.0,0.625,0.6584,0.4920911513833992,0.12489143201581024,0.744317750297096
chemprop_multitask5_umap_aux0.05,0.6024,0.6586,0.5007860450592886,0.22751470197628454,0.742512112507775
chemprop_multitask5_umap_aux0.1,0.5895,0.6692,0.5206089051383399,0.22235370355731227,0.7223937379604599
chemprop_multitask5_umap_aux0.3,0.6044,0.647,0.5392508130434783,0.2839784818181818,0.7152928954366695
chemprop_multitask5_umap_aux0.1_tuned,0.5553,0.7236,0.4864725213438736,-0.02845101146245062,0.800301447760613
chemprop_multitask2_umap_aux0.0_tuned,0.5323,0.7227,0.46673325217391315,0.09036771225296436,0.7933169456778595
chemprop_multitask5_umap_aux0.0_tuned,0.5236,0.7224,0.48625483083003956,0.1481681660079051,0.7780800530116263
chemprop_multitask2_umap_aux0.02_tuned,0.5349,0.7277,0.4865452790513835,0.04942531304347823,0.79189714768406
chemprop_multitask5_umap_aux0.02_tuned,0.5436,0.7207,0.48774656284584983,0.016084104347826044,0.794312508623929
chemprop_multitask2_umap_aux0.05_tuned,0.5406,0.7138,0.4833133782608697,0.030670813043478174,0.8001265665880991
chemprop_multitask5_umap_aux0.05_tuned,0.5389,0.7085,0.47541790711462456,0.05140104703557308,0.8006160115645627
lgbm_mordred_jazzy_umap_default,0.528,0.7131,0.5775143040303266,-0.09103502451261512,0.7166277939232794
lgbm_ergfp_umap_default,0.6549,0.5656,0.6606376508402984,-0.044978088097951986,0.5834335304841741
lgbm_jazzy_umap_default,0.7173,0.4438,0.8533653388051732,-0.13660480892638588,0.19217884713252043
lgbm_mordred_jazzy_umap,0.5212,0.718,0.5733986262070321,-0.07441943287031001,0.7263496327700312
ens_v8_simple_avg,0.5012,0.7634,0.5221967275683604,0.03371492844723697,0.7859619326363898
ens_v8_vanilla_opt,0.4793,0.7674,0.49462199925208017,0.048736125884930856,0.8047912995583325
ens_v8_l2_a0.05,0.4804,0.7683,0.49469724163366463,0.059927565096785,0.8046731065625021
ens_v8_l2_a0.1,0.4795,0.7686,0.49364658597025074,0.05094171001641014,0.8040443494655611
ens_v8_l2_a0.3,0.4796,0.77,0.4940460195362555,0.04629044837995116,0.8044793293310936
ens_v8_l2_a0.5,0.4811,0.7691,0.4920361802559342,0.044225495832167804,0.8057738946208469
ens_v8_l2_a1.0,0.4849,0.7686,0.4992701929817775,0.04105267708090034,0.8003307181263515
ens_v8_fold_opt,0.4794,0.7691,0.48958683656367397,0.05031525164953792,0.8054697051237413
ens_v8_fold_l2_a0.1,0.4799,0.7686,0.492017306673642,0.04088123327248287,0.8056749681948697
ens_v8_fold_l2_a0.3,0.4819,0.7689,0.4930484862552425,0.04566298190783235,0.8055378791401451
ens_v8_top3_avg,0.508,0.7334,0.557511839532243,-0.02768952959476889,0.7224125825933635
ens_v8_top5_avg,0.4928,0.7515,0.5312839808614932,-0.011491022937767754,0.7592140055047709
